seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
8,OnlineFPCA-sgd,0.1,0,5,99.9044861793518,0.11831097611335906,0.15028554415773052,0.21400235743186907,0.11831097611335906,0.15028554415773052,0.21400235743186907
8,OnlineFPCA-sgd,0.1,100,5,0.589858055114746,0.21378575884980067,0.22756939718131733,0.21499403067402698,NA,NA,NA
8,OnlineFPCA-sgd,0.1,200,5,0.448899984359741,0.12412893654046267,0.17842793950452737,0.1585672831448028,NA,NA,NA
8,OnlineFPCA-sgd,0.1,300,5,0.452886343002319,0.1202411546262768,0.1761746186254717,0.15230663586398363,NA,NA,NA
8,OnlineFPCA-sgd,0.1,400,5,0.436213731765747,0.1086425171246842,0.16423594462256944,0.14112898675163357,NA,NA,NA
8,OnlineFPCA-sgd,0.1,500,5,0.442639589309692,0.11225347729010246,0.16389212798180064,0.1404574551194208,NA,NA,NA
8,OnlineFPCA-sgd,0.1,600,5,0.491009950637817,0.09584767316262874,0.1574174510111218,0.13585929208531283,NA,NA,NA
8,OnlineFPCA-sgd,0.1,700,5,0.427320003509521,0.09518523257664699,0.15505518865231335,0.13129836062323544,NA,NA,NA
8,OnlineFPCA-sgd,0.1,800,5,0.701416492462158,0.09437715341768861,0.15417223178177003,0.1283240629314673,NA,NA,NA
8,OnlineFPCA-sgd,0.1,900,5,0.405291080474854,0.09414257246043023,0.15326828547743468,0.12647375454275311,NA,NA,NA
8,OnlineFPCA-sgd,0.1,1000,5,0.415336847305298,0.09466353092792941,0.15355437524944857,0.12639454062725664,NA,NA,NA
8,OnlineFPCA-sgd,0.1,1100,5,0.605526447296143,0.09710032835835197,0.15397787336869054,0.12517692975452255,0.09554109282484516,0.15337436630978027,0.12575271567079527
8,OnlineFPCA-sgd,0.1,1200,5,0.568194389343262,0.6707713444690651,0.5359937818592873,0.08842473715813072,0.048550565215837733,0.1245415646203181,0.12118672202359054
8,OnlineFPCA-sgd,0.1,1300,5,0.572754859924316,0.859830107488347,0.8834881909722947,0.2726405002412164,0.2233292685243439,0.2236024254233789,0.038066498210534795
8,OnlineFPCA-sgd,0.1,1400,5,0.568546056747437,0.7772590218393409,0.7891011865474578,0.26040735232398166,0.33715236287921246,0.3458724298844924,0.08694215641105538
8,OnlineFPCA-sgd,0.1,1500,5,0.56882381439209,0.6851516585674764,0.7024933275842797,0.23732068188396538,0.4030596034947532,0.41817685751912703,0.12077210055851904
8,OnlineFPCA-sgd,0.1,1600,5,0.578512907028198,0.7548239484520234,0.7522734198419812,0.20953488022601094,0.4400262385512769,0.45849132368607093,0.13729484622550034
8,OnlineFPCA-sgd,0.1,1700,5,0.552827835083008,0.6668021661324618,0.671443743377303,0.20087170196789678,0.4669204072674014,0.48688097607032643,0.14759560418639225
8,OnlineFPCA-sgd,0.1,1800,5,0.544085741043091,0.6196727203381002,0.6486408177330187,0.20609245289811057,0.48661177193847877,0.5079681734450743,0.15546405338400632
8,OnlineFPCA-sgd,0.1,1900,5,0.538419723510742,0.6201846720678578,0.6487097890937323,0.20210659110625617,0.5017036207503581,0.5239928930120178,0.1608526489204518
8,OnlineFPCA-sgd,0.1,2000,5,0.540841102600098,0.6196479014506137,0.6484259237172064,0.19753833250940397,0.5136024303190888,0.5366057721248131,0.16478201791095531
8,OnlineFPCA-sgd,0.1,2100,5,0.524971008300781,0.6190334955606647,0.6479140348876699,0.19539225191691123,0.5232710645990153,0.5468413175634556,0.1675509783973468
8,OnlineFPCA-sgd,0.1,2200,5,0.54091739654541,0.6184913219951755,0.6473534188359309,0.19317012848906057,0.5312557147762708,0.5553069363624238,0.16961351335698513
8,OnlineFPCA-sgd,0.1,2300,5,0.538453578948975,0.618274357713768,0.6472834653627304,0.19102959647708825,0.53798121902876,0.5624353639260752,0.17117354442687005
8,OnlineFPCA-sgd,0.1,2400,5,0.550757884979248,0.617596404272262,0.647024901622134,0.19069719092150206,0.5436846799791212,0.5685200373046073,0.17241326319426858
8,OnlineFPCA-sgd,0.1,2500,5,0.539562225341797,0.616820131217295,0.6461987091690214,0.18947502875843886,0.5485690196312714,0.5737454765141449,0.1734184836218399
8,OnlineFPCA-sgd,0.1,2600,5,0.517632722854614,0.6164857849393601,0.6460925624430445,0.18862693421761115,0.5528025329893567,0.5782891832652601,0.17418854943178033
8,OnlineFPCA-sgd,0.1,2700,5,0.520487070083618,0.6161277937531496,0.645506014464553,0.1882735266453424,0.5565165002235052,0.582266223147886,0.17476950371752145
8,OnlineFPCA-sgd,0.1,2800,5,0.525580644607544,0.6159400714705948,0.6454925336634442,0.1877292537247516,0.559806294227955,0.585775126030387,0.1752485947710032
8,OnlineFPCA-sgd,0.1,2900,5,0.543336153030396,0.6159060259161813,0.6450786724263977,0.18788844752856407,0.5627478272454807,0.588907835109334,0.1756252935692259
8,OnlineFPCA-sgd,0.1,3000,5,0.573606967926025,0.6158292524769988,0.6448546997844159,0.18730896290918214,0.565384133126508,0.5917098636084546,0.17592582235765641
8,OnlineFPCA-sgd,0.1,3100,5,0.579228401184082,0.6154917320764439,0.6441766723939872,0.1868622202782787,0.5677620842880964,0.594224981136619,0.1762121529696793
8,OnlineFPCA-sgd,0.1,3200,5,0.751090288162231,0.6156123030819399,0.6441865425658118,0.1872145711856665,0.5699219011471782,0.5964816085692602,0.1764821277668863
8,OnlineFPCA-sgd,0.1,3300,5,0.559192419052124,0.6153509101845467,0.6435953003933887,0.18741641982534474,0.5718924554893434,0.5985288343189948,0.17674215190576534
8,OnlineFPCA-sgd,0.1,3400,5,0.520215034484863,0.6144796427363243,0.6429264770291544,0.18764299950713315,0.5736697511024034,0.6003806371733069,0.17699713951094573
8,OnlineFPCA-sgd,0.1,3500,5,0.52212929725647,0.6140796854535535,0.6422399931924879,0.18714563960525296,0.575275213580546,0.6020563348477874,0.17722203255856775
8,OnlineFPCA-sgd,0.1,3600,5,0.548087358474731,0.6137843866358594,0.6418735463061376,0.18692612860602964,0.5767441250994971,0.6035800851803016,0.1773905269874951
8,OnlineFPCA-sgd,0.1,3700,5,0.553776502609253,0.6135556039111805,0.6417149629838057,0.18657936134664463,0.5780973524380127,0.6049782694289515,0.17754244242314202
8,OnlineFPCA-sgd,0.1,3800,5,0.51891016960144,0.6129200287123316,0.6414567973750704,0.18640430806647101,0.5793305560620394,0.6062612389014556,0.17766620451552562
8,OnlineFPCA-sgd,0.1,3900,5,0.506555557250977,0.6128466519094771,0.641169707832006,0.18522382964730844,0.5804717342778671,0.6074429781450703,0.17776083516474167
8,OnlineFPCA-sgd,0.1,4000,5,0.507771968841553,0.5815258914428085,0.6085382583738825,0.17783596415342484,0.5815258914428085,0.6085382583738825,0.17783596415342484
8,OnlineFPCA-sgd,0.1,4100,5,0.503098964691162,0.5819123610758485,0.6086932606657606,0.17751449372199843,0.58159022020179,0.6085850311129498,0.1775517096060648
8,OnlineFPCA-sgd,0.1,4200,5,0.521551370620728,0.5816609666061456,0.6086638922194002,0.17777137972056076,0.5816099593521648,0.6085606430975781,0.17751038727861276
8,OnlineFPCA-sgd,0.1,4300,5,0.524836778640747,0.5813138850908742,0.608071421640065,0.17698408399439536,0.5815065235056032,0.608387984253653,0.17736411886220266
8,OnlineFPCA-sgd,0.1,4400,5,0.525564193725586,0.5812905580745723,0.6078083524498901,0.1763910755005953,0.5813960432346882,0.6082151626625726,0.17708915327993752
8,OnlineFPCA-sgd,0.1,4500,5,0.529794692993164,0.5808952920681512,0.6074516567362701,0.17615123820124975,0.5812893045588339,0.6080609557370793,0.1767862199071435
8,OnlineFPCA-sgd,0.1,4600,5,0.509479999542236,0.5812834324662242,0.6076288997180432,0.17622331730856566,0.5812209638798446,0.6079272149831398,0.17649629394230212
8,OnlineFPCA-sgd,0.1,4700,5,0.517312049865723,0.5809811638440023,0.6073762058249076,0.17553303380467822,0.5811592638687513,0.607835176882136,0.17625016652894118
8,OnlineFPCA-sgd,0.1,4800,5,0.517040014266968,0.5807139489831584,0.6075339675461279,0.17543606903274267,0.5810584293732718,0.6077415114068953,0.17603932211657908
