seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
40,OnlineFPCA-sgd,0.1,0,5,149.894374370575,0.13146398984895194,0.1409807010679316,0.19160010126583446,0.13146398984895194,0.1409807010679316,0.19160010126583446
40,OnlineFPCA-sgd,0.1,100,5,0.924238920211792,0.16242752914525088,0.12914936222520546,0.15859086072582146,NA,NA,NA
40,OnlineFPCA-sgd,0.1,200,5,0.73480486869812,0.16668034089811207,0.147412596299684,0.09064890918487374,NA,NA,NA
40,OnlineFPCA-sgd,0.1,300,5,0.701923608779907,0.12034609252066666,0.12529521693355283,0.090699208262799,NA,NA,NA
40,OnlineFPCA-sgd,0.1,400,5,0.669237613677979,0.12137620870915876,0.113770392098382,0.08312057101301668,NA,NA,NA
40,OnlineFPCA-sgd,0.1,500,5,0.716106176376343,0.11824924389310111,0.11754549556841153,0.07766531961140008,NA,NA,NA
40,OnlineFPCA-sgd,0.1,600,5,0.712514638900757,0.11448316568711835,0.10822768550030015,0.06615168656982397,NA,NA,NA
40,OnlineFPCA-sgd,0.1,700,5,0.700021505355835,0.11356330562804076,0.10586918511348367,0.06538690773508109,NA,NA,NA
40,OnlineFPCA-sgd,0.1,800,5,0.920049428939819,0.11316369871181933,0.10738627600468946,0.06340083776481271,NA,NA,NA
40,OnlineFPCA-sgd,0.1,900,5,0.647839784622192,0.11186093266373273,0.10359859081912204,0.05624554999333692,NA,NA,NA
40,OnlineFPCA-sgd,0.1,1000,5,0.682591676712036,0.11050041266729499,0.10352419599167173,0.057457488343343126,NA,NA,NA
40,OnlineFPCA-sgd,0.1,1100,5,0.967659950256348,0.1118526351998831,0.10391159546856484,0.05933783507628211,0.1103527983250308,0.10304636977543666,0.05760857325196431
40,OnlineFPCA-sgd,0.1,1200,5,0.945366859436035,0.11281425885878563,0.10286405157306645,0.05707398486773479,0.1101626176901034,0.10251520614299867,0.056659671482180096
40,OnlineFPCA-sgd,0.1,1300,5,0.920226335525513,0.11404540080360129,0.1044514214468112,0.05847923179071731,0.10985988025761237,0.10229128487226148,0.05632200336679942
40,OnlineFPCA-sgd,0.1,1400,5,0.932083368301392,0.11108301044589004,0.10371283148988826,0.057526779833293164,0.10963353255922308,0.10189926367919615,0.05596384367227954
40,OnlineFPCA-sgd,0.1,1500,5,0.936874866485596,0.11459545645902743,0.10456928794670395,0.05630116360957059,0.1091121641664103,0.10157330030970173,0.05543737618275426
40,OnlineFPCA-sgd,0.1,1600,5,0.903904438018799,1.2310180855715176,1.3816214178981543,0.6332265676469179,0.20218154174240324,0.22812646138031123,0.10750686000208025
40,OnlineFPCA-sgd,0.1,1700,5,0.937169790267944,0.9753634721354351,0.9913944420334833,0.32941316188898023,0.2685496906060945,0.21919849741081954,0.19094395159493327
40,OnlineFPCA-sgd,0.1,1800,5,0.908504486083984,0.6986873026561924,0.7500714155770869,0.3283452915025037,0.29009989115049245,0.2609425861471394,0.2008053121322071
40,OnlineFPCA-sgd,0.1,1900,5,0.92347526550293,0.22607224317827956,0.35541007681889064,0.30110341891926284,0.2626590818566767,0.25483565757284515,0.19387341680008766
40,OnlineFPCA-sgd,0.1,2000,5,0.944196224212646,0.34130660318337586,0.4437157778645225,0.3068577714219729,0.2797888891572405,0.28204917147884373,0.2048836091901828
40,OnlineFPCA-sgd,0.1,2100,5,0.904433250427246,0.33608227402286295,0.44031570197236825,0.3047064811415128,0.2839372144170968,0.2962368284141348,0.2109121212173537
40,OnlineFPCA-sgd,0.1,2200,5,0.901568412780762,0.3353333478696075,0.43936681540226596,0.30187668867182804,0.28742202664281546,0.3079723419087219,0.21640025543391483
40,OnlineFPCA-sgd,0.1,2300,5,0.936073780059814,0.3346962834887553,0.4379865576883794,0.3017133635764161,0.2904361192562002,0.3179537212425077,0.2213735193629632
40,OnlineFPCA-sgd,0.1,2400,5,0.917900800704956,0.3342654086811645,0.43614266922595324,0.29886297312788973,0.29303456913374154,0.3264231086850633,0.2257908615028333
40,OnlineFPCA-sgd,0.1,2500,5,0.908308982849121,0.33238678376885866,0.4345596677058805,0.29699853910658036,0.29525235552771123,0.33366909060326855,0.22959571048897348
40,OnlineFPCA-sgd,0.1,2600,5,0.928571939468384,0.3314704985914898,0.43351919039714426,0.29596971097782687,0.29717207619370095,0.3398853851559245,0.23296123000502156
40,OnlineFPCA-sgd,0.1,2700,5,0.89265513420105,0.3298117047668225,0.4329166719814873,0.2962109872056461,0.298800010585387,0.3453323030096451,0.23597072189660614
40,OnlineFPCA-sgd,0.1,2800,5,0.93067741394043,0.32890046153696495,0.4314346609399817,0.2954824632872123,0.30017795971997363,0.3500463439095791,0.2386660814275501
40,OnlineFPCA-sgd,0.1,2900,5,0.922001361846924,0.3282783621163341,0.4311332525789294,0.29547150289134205,0.3014297440396334,0.35421153750551165,0.24112505794836814
40,OnlineFPCA-sgd,0.1,3000,5,0.908206462860107,0.3286744989840281,0.43068236306186675,0.2944384538293579,0.302599268663847,0.35796721150969635,0.24335987865246653
40,OnlineFPCA-sgd,0.1,3100,5,0.907942771911621,0.3287132107079383,0.4296768334359697,0.29340469868228786,0.3036363895000274,0.3613340189094454,0.24536752923800687
40,OnlineFPCA-sgd,0.1,3200,5,0.953179121017456,0.3276164658506995,0.4288066895466706,0.2918196665047738,0.3045370778489133,0.3643555233603179,0.24716331252501889
40,OnlineFPCA-sgd,0.1,3300,5,0.929957628250122,0.3273940936504092,0.4276900496283584,0.2913881574548069,0.30533894033917297,0.3670771634948563,0.2487696057721019
40,OnlineFPCA-sgd,0.1,3400,5,0.91181755065918,0.3262127695716971,0.4265678156590389,0.28936381924891735,0.3060525012310002,0.36950783448698965,0.25021966059394335
40,OnlineFPCA-sgd,0.1,3500,5,0.92243480682373,0.32611284928999823,0.4252729623953383,0.28929922082120685,0.3067002264127602,0.37170688266170676,0.25151709329321886
40,OnlineFPCA-sgd,0.1,3600,5,0.923178195953369,0.32590511360279395,0.4244704840262691,0.28926356035009076,0.3072893005241257,0.37370018696483115,0.25267752904074575
40,OnlineFPCA-sgd,0.1,3700,5,0.930978536605835,0.32518777684211503,0.4253781684393761,0.2882780165122375,0.30782305451030323,0.3755512071126503,0.2537540544477926
40,OnlineFPCA-sgd,0.1,3800,5,0.912261962890625,0.32403429946698953,0.4244596496868156,0.28909581881199514,0.30831306633306194,0.37724484968162164,0.25474288060839967
40,OnlineFPCA-sgd,0.1,3900,5,0.936853408813477,0.3242212227391531,0.4232925981969518,0.28780049857148216,0.30872329830370865,0.3787846028007606,0.2556371332525273
