noise,seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,tau
0.1,99,OnlineFPCA-sgd,0.1,0,100,face,3,5,0.903135776519775,0.009399301884795196,0.12799649011576086,0.8678624182821382,0.009399301884795196,0.12799649011576086,0.8678624182821382,1.0000000000000016e-5
0.1,99,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.533194303512573,0.22887685210669537,0.3237434363926262,0.912571114530633,NA,NA,NA,1.0000000000000016e-5
0.1,99,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.382242202758789,0.41037548871415613,0.7073922049796219,0.8852918539871152,NA,NA,NA,1.0000000000000016e-5
0.1,99,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.379944086074829,0.6618626869646922,0.6241905499042799,0.8092680654449323,NA,NA,NA,1.0000000000000016e-5
0.1,99,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.389804840087891,0.34840182067814257,0.40836238759085086,0.5564275159103479,NA,NA,NA,3.359994550094531e-6
0.1,99,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.550004243850708,0.3063849483144714,0.838686854788634,0.7806392103930704,NA,NA,NA,1.3218264069490302e-6
0.1,99,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.365002870559692,0.27437406727535785,0.41215441828699795,0.680910335572334,NA,NA,NA,3.004644842248162e-6
0.1,99,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.361826419830322,0.24251431324144,0.39975018520026406,0.6700156767924313,NA,NA,NA,6.279632221957841e-6
0.1,99,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.36607551574707,0.2366263004347736,0.3899559779692874,0.6515865591683948,NA,NA,NA,1.2288730475388871e-5
0.1,99,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.365015506744385,0.22079241415833586,0.3808116890802382,0.6235057201329112,NA,NA,NA,2.2803658332142112e-5
0.1,99,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.364017724990845,0.2033504228539933,0.37347083789990854,0.5797414344271595,NA,NA,NA,4.0496017426770496e-5
0.1,99,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.529258966445923,0.14918559764168657,0.3411566494208166,0.3398999043165838,0.17210274964503736,0.35134564586237294,0.357397876772094,4.0496017426770496e-5
0.1,99,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.509966850280762,0.18154104164590515,0.2901323571638376,0.3161578158892882,0.13950616733288387,0.318035871583421,0.333430277744,6.7133128678083145e-05
0.1,99,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.507033824920654,0.08853018211105187,0.27490400505778134,0.2842955130318379,0.10109839322066444,0.29988794617351866,0.3174264032674989,6.7133128678083145e-05
0.1,99,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.514279127120972,0.11092069539740662,0.43567612457905963,0.40423474725859804,0.07400770390331786,0.2973446603362152,0.3108657093486845,1.0568341276513143e-4
0.1,99,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.506140470504761,0.10780177326870084,0.29939000339108973,0.35064683015085857,0.06081117921980746,0.2958234510408179,0.32578106147679364,1.628491305789203e-4
0.1,99,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.498136281967163,0.12378752410467957,0.2718037411069071,0.3408004158678228,0.044820259066057404,0.29107563737944536,0.32370963425077437,1.628491305789203e-4
0.1,99,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.519400596618652,0.13695067100526653,0.2676881883688945,0.3317552626589534,0.033823990514636526,0.2864212393185624,0.32321822803062555,7.374492118529001e-5
0.1,99,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.510558366775513,0.15505617495053256,0.2275507829084099,0.3560412936030289,0.02805260819796173,0.2785021095787192,0.3211534522052512,7.374492118529001e-5
0.1,99,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.511409521102905,0.11124705473729546,0.2439924282561086,0.3966654880711404,0.027470877633251924,0.27052936515787956,0.320461662987299,7.374492118529001e-5
0.1,99,OnlineFPCA-sgd,0.1,2000,100,face,3,5,0.510793209075928,0.335619606917574,0.21091661528825487,0.3498934171579199,0.029805206863383785,0.26306552240735603,0.3210918640590281,7.374492118529001e-5
0.1,99,OnlineFPCA-sgd,0.1,2100,100,face,3,5,0.509531259536743,0.09021241381033661,0.2068604438300415,0.3276119641452219,0.029329003951400992,0.25739172830838486,0.32280744668158023,7.374492118529001e-5
0.1,99,OnlineFPCA-sgd,0.1,2200,100,face,3,5,0.500661373138428,0.23853082469956324,0.23229723013419598,0.2759762816684578,0.026310024482739666,0.2515546960349089,0.31814058537330314,7.374492118529001e-5
0.1,99,OnlineFPCA-sgd,0.1,2300,100,face,3,5,0.498833179473877,0.11626338331887619,0.16911233841673112,0.20288664431398365,0.026343135551469207,0.24341170962854036,0.31031805136911095,7.374492118529001e-5
0.1,99,OnlineFPCA-sgd,0.1,2400,100,face,3,5,0.501720190048218,0.18458182446622773,0.16595368881599037,0.24156460802956456,0.02446423146318898,0.23542079655958875,0.30365450564017726,5.402551183765257e-5
0.1,99,OnlineFPCA-sgd,0.1,2500,100,face,3,5,0.506280660629272,0.17773043469119254,0.21902601899709956,0.1857579637842862,0.022724099867527058,0.22917846201417016,0.2956517459763152,2.9508430422745585e-5
0.1,99,OnlineFPCA-sgd,0.1,2600,100,face,3,5,0.497926235198975,0.10171328000153677,0.20478427216089606,0.25423993337167844,0.0248271169924213,0.22242176438990802,0.28820202049518123,2.9508430422745585e-5
0.1,99,OnlineFPCA-sgd,0.1,2700,100,face,3,5,0.498141050338745,0.18075027659727272,0.19397000393873698,0.19633890816072805,0.026154968937806628,0.21512514840021735,0.28394892549783407,2.9508430422745585e-5
0.1,99,OnlineFPCA-sgd,0.1,2800,100,face,3,5,0.65656590461731,0.1650792141556304,0.1026150681929132,0.2588648802405112,0.028344480605983706,0.20775178691546123,0.27731474777778464,2.2316975198270215e-05
0.1,99,OnlineFPCA-sgd,0.1,2900,100,face,3,5,0.496478319168091,0.26302796536225664,0.23845085177149392,0.31597513561433654,0.02972266167264999,0.20195144611137733,0.2738384867750799,1.293900584162186e-5
0.1,99,OnlineFPCA-sgd,0.1,3000,100,face,3,5,0.517816781997681,0.15841236628820718,0.23110874320906602,0.16334127608130766,0.02727409516157765,0.19678205584472253,0.2699534275370353,7.598332882476181e-6
0.1,99,OnlineFPCA-sgd,0.1,3100,100,face,3,5,0.489885091781616,0.10929035442183184,0.14090810176523172,0.2029757543370518,0.025336631165675135,0.19156891694624845,0.26504721096021094,7.598332882476181e-6
0.1,99,OnlineFPCA-sgd,0.1,3200,100,face,3,5,0.493228435516357,0.061251642859166705,0.14346799595668452,0.19678590469135107,0.023508228306613192,0.18696235187218005,0.2608409385700222,5.891594953351742e-6
0.1,99,OnlineFPCA-sgd,0.1,3300,100,face,3,5,0.492489099502563,0.14859282794258116,0.24503651375525934,0.23003498674280798,0.022880632883867064,0.18213564506089505,0.2562439546174099,3.5807241364936497e-6
0.1,99,OnlineFPCA-sgd,0.1,3400,100,face,3,5,0.497758150100708,0.17355119104952393,0.2277674159401295,0.2298268410476914,0.021774925041204297,0.17748885227977285,0.254283743164566,2.198777058922076e-6
0.1,99,OnlineFPCA-sgd,0.1,3500,100,face,3,5,0.503460168838501,0.17824287495575838,0.1680503962661631,0.20977764234964566,0.02199738734307521,0.17303442245128173,0.25177000778703695,2.198777058922076e-6
0.1,99,OnlineFPCA-sgd,0.1,3600,100,face,3,5,0.507542371749878,0.10630439331445919,0.18945946506192968,0.18481957515477995,0.02410369420778616,0.16912702734633814,0.24859888440639746,2.198777058922076e-6
0.1,99,OnlineFPCA-sgd,0.1,3700,100,face,3,5,0.498523235321045,0.1726794317175591,0.15434820107488062,0.2104382454066973,0.02417850214140324,0.16468591327342408,0.24582277445785844,1.74731982129091e-6
0.1,99,OnlineFPCA-sgd,0.1,3800,100,face,3,5,0.493024587631226,0.09680753732015239,0.14205213538152095,0.22353322160830286,0.022307461573086603,0.15986681712846126,0.24409754511130033,1.74731982129091e-6
0.1,99,OnlineFPCA-sgd,0.1,3900,100,face,3,5,0.497440814971924,0.2523414065202909,0.18832238906641555,0.2391518589087112,0.0213402357742738,0.15598866257919156,0.2429049229205852,1.74731982129091e-6
0.1,99,OnlineFPCA-sgd,0.1,4000,100,face,3,5,0.502994537353516,0.021829234424721778,0.1529125752970006,0.2416600388433191,0.021829234424721778,0.1529125752970006,0.2416600388433191,1.4056089828792362e-6
0.1,99,OnlineFPCA-sgd,0.1,4100,100,face,3,5,0.496814012527466,0.26654617137155356,0.24877469717479878,0.30228415984469503,0.056045670180355237,0.18660098685797943,0.2649079099819968,1.4056089828792362e-6
0.1,99,OnlineFPCA-sgd,0.1,4200,100,face,3,5,0.500575542449951,0.05909837320707107,0.14394949634900803,0.2917986634589961,0.02835767429240181,0.18619447957676838,0.27718620656039394,1.1390161616810576e-6
0.1,99,OnlineFPCA-sgd,0.1,4300,100,face,3,5,0.499910354614258,0.3852568226851879,0.2522058390369861,0.3241240429879919,0.04096644870411687,0.1490927211741001,0.2799464280374951,1.1390161616810576e-6
0.1,99,OnlineFPCA-sgd,0.1,4400,100,face,3,5,0.509450912475586,0.15250446702031675,0.22448851559045424,0.17869952189753965,0.06708315380864675,0.13002044710593347,0.2733151731730698,1.1390161616810576e-6
0.1,99,OnlineFPCA-sgd,0.1,4500,100,face,3,5,0.501445293426514,0.16856186662653866,0.1063526846680401,0.21940006445357574,0.04636165352908111,0.1239148505981696,0.2548841255461911,9.321835514521886e-7
0.1,99,OnlineFPCA-sgd,0.1,4600,100,face,3,5,0.498281240463257,0.08525898713505906,0.1010945660415128,0.2028870965812174,0.0377942818628068,0.1132156431468787,0.23925216490133486,7.652470960761445e-7
0.1,99,OnlineFPCA-sgd,0.1,4700,100,face,3,5,0.503167390823364,0.1506459771011301,0.14532521463776077,0.2420502806198729,0.03359828064668934,0.10191003318054646,0.2332966490458781,7.652470960761445e-7
0.1,99,OnlineFPCA-sgd,0.1,4800,100,face,3,5,0.499069929122925,0.13206417184632713,0.1386092601940319,0.23441622065010914,0.028733998492350993,0.09523177792863284,0.23165268183375798,7.652470960761445e-7
0.1,99,OnlineFPCA-sgd,0.1,4900,100,face,3,5,0.501634120941162,0.19902604706483612,0.1424966366447036,0.3193406333850222,0.03336572438846749,0.09474149549122322,0.23124131566587533,7.652470960761445e-7
0.1,99,OnlineFPCA-sgd,0.1,5000,100,face,3,5,0.500292301177979,0.07353943768750117,0.1729028019068087,0.2962039389781795,0.024197529612352373,0.09062776248211811,0.23316732377960586,7.652470960761445e-7
0.1,99,OnlineFPCA-sgd,0.1,5100,100,face,3,5,0.104989528656006,0.14245137621704007,0.08622764680986887,0.29452811820665836,0.020294122478055013,0.08346139654814086,0.23636996332080376,NA
0.1,99,OnlineFPCA-sgd,0.1,5200,100,face,3,5,0.102189302444458,0.25795533229166495,0.13779332802384736,0.20378023111057098,0.019059425289304186,0.07791302792492949,0.23317259248542954,NA
0.1,99,OnlineFPCA-sgd,0.1,5300,100,face,3,5,0.102547168731689,0.19138429511510072,0.3202414533046138,0.25956382998616034,0.01856450387534825,0.07831975903471233,0.2254217303248783,NA
0.1,99,OnlineFPCA-sgd,0.1,5400,100,face,3,5,0.102130889892578,0.22120103994382206,0.15764286540592592,0.1676498051432561,0.02293119956885067,0.08129121477465456,0.22016134237925553,NA
0.1,99,OnlineFPCA-sgd,0.1,5500,100,face,3,5,0.100395441055298,0.08007690129421276,0.09400926484321524,0.1500577385801541,0.0209544939411132,0.08168136401402316,0.21464493290648964,NA
0.1,99,OnlineFPCA-sgd,0.1,5600,100,face,3,5,0.106138706207275,0.29128872957714314,0.18632345215627008,0.14198847726054892,0.020739936244149864,0.08004954566741276,0.20847380496887297,NA
0.1,99,OnlineFPCA-sgd,0.1,5700,100,face,3,5,0.0995573997497559,0.15377097291698275,0.16602118429902657,0.23409128685545386,0.023599102043836116,0.08188571134892098,0.20477289808665528,NA
0.1,99,OnlineFPCA-sgd,0.1,5800,100,face,3,5,0.103190898895264,0.17086067936348048,0.1939574692058033,0.2406257618479101,0.022969912591587004,0.08499985771713982,0.20560575901642308,NA
0.1,99,OnlineFPCA-sgd,0.1,5900,100,face,3,5,0.104206562042236,0.15086034417989277,0.12370364774229309,0.2992973392807055,0.02357756138137566,0.08581113208521321,0.20763779503446364,NA
0.1,99,OnlineFPCA-sgd,0.1,6000,100,face,3,5,0.103418588638306,0.08164802571858656,0.14256354416622866,0.25077493851604576,0.021184747038517082,0.08566626935655201,0.20998884593266307,NA
0.1,99,OnlineFPCA-sgd,0.1,6100,100,face,3,5,0.1030113697052,0.14700004017725357,0.1490796771942627,0.27196920435223976,0.022532385406410806,0.08395383903127872,0.21063133559303032,NA
0.1,99,OnlineFPCA-sgd,0.1,6200,100,face,3,5,0.10304069519043,0.1527803279347159,0.0797009232617646,0.23055528288310784,0.024456967424899688,0.08172547412860975,0.21202932570925687,NA
0.1,99,OnlineFPCA-sgd,0.1,6300,100,face,3,5,0.103000164031982,0.07782335765366524,0.09213927847991671,0.12769995680565194,0.02362583633186854,0.08043127999565666,0.20961913853898667,NA
0.1,99,OnlineFPCA-sgd,0.1,6400,100,face,3,5,0.103164911270142,0.13274063278032758,0.2814332914095804,0.26083801810388824,0.02288166269632264,0.08209818403244927,0.2073217067286399,NA
0.1,99,OnlineFPCA-sgd,0.1,6500,100,face,3,5,0.100111484527588,0.15433513938748863,0.13429451117016336,0.24471651225940053,0.022874655619234147,0.08481838925261607,0.20925267211323487,NA
0.1,99,OnlineFPCA-sgd,0.1,6600,100,face,3,5,0.104348659515381,0.10098182655296264,0.12846436856488033,0.19774927735691925,0.022267564732044737,0.0849066205408547,0.20872370646207233,NA
0.1,99,OnlineFPCA-sgd,0.1,6700,100,face,3,5,0.103602886199951,0.15051963803477483,0.12195199590271155,0.22831036011945485,0.022217132080869843,0.08458632367352217,0.2085942257484075,NA
0.1,99,OnlineFPCA-sgd,0.1,6800,100,face,3,5,0.103849411010742,0.1160613224043825,0.10622644727582524,0.27415239736914926,0.023691894795986712,0.08314812174281587,0.20864665632716256,NA
0.1,99,OnlineFPCA-sgd,0.1,6900,100,face,3,5,0.103802442550659,0.07262424167778168,0.11255398828774847,0.3133864179381216,0.023977942742218674,0.08289799314024289,0.2094685513521092,NA
0.1,99,OnlineFPCA-sgd,0.1,7000,100,face,3,5,0.104256629943848,0.1996422298165397,0.08043804397186433,0.2870355934529468,0.024111321630602645,0.0828664943956912,0.21104918606295356,NA
0.1,99,OnlineFPCA-sgd,0.1,7100,100,face,3,5,0.104190826416016,0.07785478154934394,0.07963633991620286,0.29931959057878327,0.02476518933673291,0.08238353020480693,0.21354947714275538,NA
0.1,99,OnlineFPCA-sgd,0.1,7200,100,face,3,5,0.100493431091309,0.19382883054585542,0.19503203171739766,0.26559826879776977,0.02464944873155876,0.0812601707942828,0.21460757237231723,NA
0.1,99,OnlineFPCA-sgd,0.1,7300,100,face,3,5,0.103504419326782,0.10515168361977609,0.16518621863047347,0.18038397539427614,0.02524593344213487,0.0813973979518608,0.2142604628430533,NA
0.1,99,OnlineFPCA-sgd,0.1,7400,100,face,3,5,0.102856159210205,0.28454327117477696,0.14585184721365071,0.2335301928625271,0.025005730419656494,0.08067389766048022,0.21372290823059062,NA
0.1,99,OnlineFPCA-sgd,0.1,7500,100,face,3,5,0.103010654449463,0.18054479098553558,0.17447720239794884,0.15854328267381665,0.02646584369244342,0.08069626493380212,0.21254742491244263,NA
0.1,99,OnlineFPCA-sgd,0.1,7600,100,face,3,5,0.103254318237305,0.09815763423175762,0.16742384946634964,0.2368558177672344,0.027483430673942398,0.07966876120785438,0.21097482569798984,NA
0.1,99,OnlineFPCA-sgd,0.1,7700,100,face,3,5,0.103570222854614,0.1738800564531788,0.15093281682951756,0.1757673935250751,0.029140578360719933,0.07774468979056796,0.21115849844018186,NA
0.1,99,OnlineFPCA-sgd,0.1,7800,100,face,3,5,0.103588581085205,0.1453958197922348,0.12269946289278957,0.21537526406305485,0.030370592711010003,0.07531523049502019,0.2096430138254019,NA
0.1,99,OnlineFPCA-sgd,0.1,7900,100,face,3,5,0.103359699249268,0.1736748059805296,0.1849918941461887,0.24808870317084755,0.03130393686473715,0.07364581542779292,0.20886965834340884,NA
0.1,99,OnlineFPCA-sgd,0.1,8000,100,face,3,5,0.104067325592041,0.15849167095502156,0.15501439787446186,0.09859514257869133,0.031070685975244275,0.07242930922357517,0.20722820851592666,NA
0.1,99,OnlineFPCA-sgd,0.1,8100,100,face,3,5,0.10693621635437,0.06117847022362682,0.08846800602039089,0.14279611323618066,0.03073830325578203,0.07103564581842359,0.2046992580335786,NA
0.1,99,OnlineFPCA-sgd,0.1,8200,100,face,3,5,0.0997428894042969,0.055511238007596136,0.08856681837193929,0.15349348043446415,0.030666679184577408,0.06997150919742327,0.20275338423185296,NA
0.1,99,OnlineFPCA-sgd,0.1,8300,100,face,3,5,0.102911949157715,0.1410365917002406,0.17375239842608428,0.19570918381164812,0.030628887009190472,0.06861851666794665,0.20060442093286607,NA
0.1,99,OnlineFPCA-sgd,0.1,8400,100,face,3,5,0.10600733757019,0.15137788173039285,0.1948638321167405,0.21088293895908186,0.030095206834517222,0.06832833048371474,0.19990218115452826,NA
0.1,99,OnlineFPCA-sgd,0.1,8500,100,face,3,5,0.104771852493286,0.13332529763759132,0.14139345052152763,0.20955939766998308,0.029479011465846226,0.06768965555019511,0.19897255263591251,NA
0.1,99,OnlineFPCA-sgd,0.1,8600,100,face,3,5,0.103718280792236,0.09795854269962706,0.17166155870520708,0.18528301925989135,0.030138033984046745,0.06766179860946599,0.19809492579826302,NA
0.1,99,OnlineFPCA-sgd,0.1,8700,100,face,3,5,0.106414318084717,0.11709418226374833,0.14416468228187782,0.19572050942326777,0.02986209991025955,0.06738791395193254,0.19739016496454168,NA
0.1,99,OnlineFPCA-sgd,0.1,8800,100,face,3,5,0.103150606155396,0.07362996237091014,0.12635386526883663,0.21489002774586682,0.028542453283893685,0.06607379319668044,0.19742854960353953,NA
