noise,seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,tau
0.1,87,OnlineFPCA-sgd,0.1,0,100,face,3,5,0.867219924926758,0.11365075866367924,0.23920403021202596,0.16093339932568748,0.11365075866367924,0.23920403021202596,0.16093339932568748,1.0000000000000009e-4
0.1,87,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.513487815856934,0.44401160362380754,0.6120479800190451,0.8692004248506188,NA,NA,NA,1.0000000000000009e-4
0.1,87,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.375064849853516,0.6532427487370726,0.5971122573751336,0.6602046576089976,NA,NA,NA,1.0000000000000009e-4
0.1,87,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.372438430786133,0.46627278883240486,0.5432459232305865,0.5339984746303176,NA,NA,NA,1.0000000000000009e-4
0.1,87,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.36963963508606,0.21235962687394977,0.4882575241398598,0.5074195192098115,NA,NA,NA,1.0000000000000009e-4
0.1,87,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.541501760482788,0.20760854795559727,0.4858146773238713,0.48411087606305375,NA,NA,NA,2.54193329201971e-4
0.1,87,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.348317384719849,0.10629738433116162,0.4581108571835413,0.48744618052604255,NA,NA,NA,2.54193329201971e-4
0.1,87,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.353321552276611,0.10199195964266845,0.45816439096282296,0.48158560615208335,NA,NA,NA,5.312576708630498e-4
0.1,87,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.344473123550415,0.10335981273074951,0.45221626227151723,0.47975678757514506,NA,NA,NA,5.312576708630498e-4
0.1,87,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.346988916397095,0.09816080000618585,0.45016457900660484,0.47910565166226127,NA,NA,NA,2.862910080097487e-4
0.1,87,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.346010446548462,0.09692239928773086,0.45021940686736234,0.4805800045341459,NA,NA,NA,1.612129474713017e-4
0.1,87,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.509858846664429,0.3397106574776156,0.46144972141245394,0.3805065956803041,0.09057089146544439,0.43323678028750706,0.43281091420647216,9.42082555809149e-5
0.1,87,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.491032123565674,0.3157305548681616,0.4379638314751171,0.38724357368039525,0.10609646063640908,0.41753470891114647,0.40895523376836224,1.5617572656096307e-4
0.1,87,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.491663932800293,0.2754213085445798,0.41263486670729993,0.4463861741577909,0.07671994910563765,0.39252017520604793,0.4181136853737544,2.518699782720694e-4
0.1,87,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.497342586517334,0.5821965580226172,0.3815213438852733,0.44646018995625575,0.06591102649330478,0.3882517060841964,0.41774339910625446,1.5999501926629344e-4
0.1,87,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.478750228881836,0.18069376916269025,0.34384375693297375,0.38925864865470133,0.04496409724048742,0.38007041608772446,0.4130219722004058,2.465386866563221e-4
0.1,87,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.478481292724609,0.0950257412629906,0.34095439783213927,0.38366769100690534,0.03759114073940903,0.37223428793837665,0.40685632742173744,1.0787401474737435e-4
0.1,87,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.474428653717041,0.09365753411914987,0.33725068248752393,0.3809161233854143,0.03757557063749815,0.3669041071171281,0.40212587567944985,4.884988140376154e-5
0.1,87,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.509613990783691,0.09045994412502029,0.33468126270719073,0.36910138424533134,0.03842178522657986,0.36265578162501405,0.39848456396079557,2.2819404610063023e-5
0.1,87,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.48944616317749,0.08037214593197435,0.33475481086792297,0.3598080867016723,0.040036937084433205,0.3590846947574373,0.3944427371957651,1.5818422051887766e-5
