noise,seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,tau
0.1,33,OnlineFPCA-sgd,0.1,0,100,face,3,5,1.77258372306824,0.09424117357036711,0.15746182386617097,0.263101628933232,0.09424117357036711,0.15746182386617097,0.263101628933232,1.0000000000000016e-5
0.1,33,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.490465879440308,1.3955131718572824,1.5050397321542288,0.797887757634903,NA,NA,NA,1.0000000000000016e-5
0.1,33,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.351258516311646,0.26789592563374015,0.8249055045538001,0.8024692167843991,NA,NA,NA,5.8811906530777355e-5
0.1,33,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.347820281982422,0.9051854936088085,1.0415801355670462,0.7529896546078663,NA,NA,NA,1.5493032695159807e-5
0.1,33,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.355480670928955,0.6778642689521615,0.8130162004710749,1.2256434053316774,NA,NA,NA,1.5493032695159807e-5
0.1,33,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.480547428131104,0.4327038727292305,0.677083828421054,0.58927971194822,NA,NA,NA,1.5493032695159807e-5
0.1,33,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.34154748916626,0.38841613023585136,0.5111726496814027,0.521663703322274,NA,NA,NA,3.521722711361226e-5
0.1,33,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.339283227920532,0.3513389269275431,0.46017710343113494,0.44474713636355256,NA,NA,NA,7.360311975680131e-5
0.1,33,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.342380523681641,0.30347774719155757,0.4521560296018445,0.44166924909178784,NA,NA,NA,1.440353302342128e-4
0.1,33,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.342103004455566,0.25225174119613114,0.4487602693559781,0.43939976342954395,NA,NA,NA,1.440353302342128e-4
0.1,33,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.36695122718811,0.2258379845715695,0.4465671087417003,0.43978718765243524,NA,NA,NA,2.5578603039380844e-4
0.1,33,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.501817941665649,0.6498545398565473,0.38063742791076705,0.3781969057722041,0.14822903817729058,0.38617797864635584,0.43994262591863015,1.4947407204782495e-4
0.1,33,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.48185396194458,0.15349063834589793,0.3170531187629996,0.31460241724906834,0.09260228800694285,0.34067809076564043,0.38028123803212516,9.016568638600061e-5
0.1,33,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.479809761047363,0.25766571000716926,0.37434487550776113,0.2810924234285153,0.07996409027131954,0.3133528354955956,0.35062910156935273,9.016568638600061e-5
0.1,33,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.486684799194336,0.09031261355264203,0.1764638718504729,0.2557359356230852,0.06724354832125547,0.27948301652104723,0.33250895211507575,5.72758247309004e-5
0.1,33,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.468022584915161,0.4559094478420679,0.2760567321191786,0.2470619359202076,0.05644209618132462,0.2529785557406138,0.30545583216855354,8.825716369839973e-5
0.1,33,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.468082904815674,0.21349805386943377,0.19575140512442574,0.23496992765461244,0.05941076018507247,0.23191587978387324,0.28025144036384414,3.86172844006203e-5
0.1,33,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.472636222839355,0.2019287998641918,0.16856239624832284,0.19737787990300165,0.07183604936214759,0.21884369907424428,0.26523956214679434,2.5986935370057533e-5
0.1,33,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.49713134765625,0.14983632248067935,0.1483042844045364,0.19701733774449978,0.07846214306702358,0.2073746089050089,0.2539099135290783,1.776132920341579e-5
0.1,33,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.47376012802124,0.17259420146624546,0.15265092387423315,0.19672533303983677,0.08080368716591507,0.19822427059316097,0.24532947012240222,8.534796368059194e-6
0.1,33,OnlineFPCA-sgd,0.1,2000,100,face,3,5,0.476275682449341,0.1914677086451467,0.1500037374344958,0.19607538043396508,0.08538876500082855,0.1921101594745147,0.2389316096449705,4.208585525590027e-6
0.1,33,OnlineFPCA-sgd,0.1,2100,100,face,3,5,0.472364187240601,0.203840989694179,0.2521970627153594,0.35888887709841866,0.08740295405637649,0.18454075121391375,0.23337988687864514,2.125147332615896e-6
0.1,33,OnlineFPCA-sgd,0.1,2200,100,face,3,5,0.459757566452026,0.38094708814757605,0.0970543974430489,0.4022547436571539,0.08108674731039484,0.1746947223685906,0.22914633793683295,2.125147332615896e-6
0.1,33,OnlineFPCA-sgd,0.1,2300,100,face,3,5,0.460544586181641,0.1355765714624202,0.26723444286661735,0.20820530702247037,0.0797941130553098,0.17066337097303652,0.2261852051402538,2.125147332615896e-6
0.1,33,OnlineFPCA-sgd,0.1,2400,100,face,3,5,0.457683324813843,0.2822818885557248,0.2175934151263769,0.42472457533269037,0.08092507755181264,0.1676827535987775,0.22725078472788976,1.556882433795286e-6
0.1,33,OnlineFPCA-sgd,0.1,2500,100,face,3,5,0.460682153701782,0.20100964148821,0.19373615553815524,0.21337711125424863,0.0815830684574533,0.16152733201975178,0.2265595859292519,1.556882433795286e-6
0.1,33,OnlineFPCA-sgd,0.1,2600,100,face,3,5,0.459709405899048,0.270724556497678,0.18136341083465526,0.14252571589709942,0.08223078336009462,0.15729603323595062,0.21680404899174227,1.160074511580941e-6
0.1,33,OnlineFPCA-sgd,0.1,2700,100,face,3,5,0.458110809326172,0.2610336492178521,0.19184360248725288,0.3380219572861242,0.08547450568680601,0.15536637056975403,0.22032542232797217,1.160074511580941e-6
0.1,33,OnlineFPCA-sgd,0.1,2800,100,face,3,5,0.45846700668335,0.19978442031333649,0.19053272482614636,0.2532452425046138,0.08341622680866613,0.15141287823342273,0.22465029849715512,6.635357505694499e-7
0.1,33,OnlineFPCA-sgd,0.1,2900,100,face,3,5,0.453687906265259,0.2372746443033775,0.22705372619861694,0.36909615596147793,0.08059147961948393,0.1491179289390163,0.22495118267926445,3.8470683757396114e-7
0.1,33,OnlineFPCA-sgd,0.1,3000,100,face,3,5,0.467059135437012,0.25243995063727387,0.22661624218037157,0.413389365037389,0.07813881651898759,0.14860184748292582,0.23143520469509948,2.259161677359014e-7
0.1,33,OnlineFPCA-sgd,0.1,3100,100,face,3,5,0.464101552963257,0.1091400135643257,0.36413444180493293,0.3474807216374985,0.07620528334884068,0.15054634416097823,0.23582967178963074,2.259161677359014e-7
0.1,33,OnlineFPCA-sgd,0.1,3200,100,face,3,5,0.486777067184448,0.15106640481441097,0.1945427241978742,0.3251283473579733,0.07401267762194205,0.15036294574368184,0.23794464543118674,1.751708663334644e-7
0.1,33,OnlineFPCA-sgd,0.1,3300,100,face,3,5,0.463683605194092,0.1559903235758459,0.20905135148216297,0.3383288508648986,0.07194929838609238,0.15052218876589252,0.23898324367423418,1.751708663334644e-7
0.1,33,OnlineFPCA-sgd,0.1,3400,100,face,3,5,0.456716299057007,0.15151935812254058,0.18605226717224777,0.3191885201702028,0.07073095970823295,0.150179469978232,0.2407414077931318,1.751708663334644e-7
0.1,33,OnlineFPCA-sgd,0.1,3500,100,face,3,5,0.45887279510498,0.2538558827043704,0.17812998934683033,0.36857260731873787,0.07027081967643671,0.14973449103085423,0.240883390974351,1.751708663334644e-7
0.1,33,OnlineFPCA-sgd,0.1,3600,100,face,3,5,0.467890739440918,0.15053332205187436,0.1039425671752316,0.17860035151165726,0.06955978104922345,0.1470034328551605,0.2410095624663773,1.751708663334644e-7
0.1,33,OnlineFPCA-sgd,0.1,3700,100,face,3,5,0.456079006195068,0.08482051546816734,0.2640319713398886,0.2029508919765474,0.06840003187761708,0.14512774040262771,0.23886016625093803,1.3920443894717308e-7
0.1,33,OnlineFPCA-sgd,0.1,3800,100,face,3,5,0.457950830459595,0.5568401693140935,0.4331087754474571,0.42929251114713646,0.06670482536976276,0.1431494548566374,0.23750639624456085,1.3920443894717308e-7
0.1,33,OnlineFPCA-sgd,0.1,3900,100,face,3,5,0.460233449935913,0.22817252421642525,0.18790634209072749,0.4674481497839621,0.06487417150194423,0.1428914094632905,0.24288016371057844,1.3920443894717308e-7
0.1,33,OnlineFPCA-sgd,0.1,4000,100,face,3,5,0.465406894683838,0.06217670743539419,0.14340128087912687,0.2449686073581646,0.06217670743539419,0.14340128087912687,0.2449686073581646,1.3920443894717308e-7
0.1,33,OnlineFPCA-sgd,0.1,4100,100,face,3,5,0.466187953948975,0.17839554117884376,0.19229872949474108,0.24570545710396216,0.10566550102224055,0.14712364366498326,0.20115049149249745,1.3920443894717308e-7
0.1,33,OnlineFPCA-sgd,0.1,4200,100,face,3,5,0.467222452163696,0.23644256296404845,0.1710346275847802,0.2473041636518467,0.12053628985918825,0.1489093675460153,0.21685323329527273,1.3920443894717308e-7
0.1,33,OnlineFPCA-sgd,0.1,4300,100,face,3,5,0.461433887481689,0.14965066918387943,0.21520599796399653,0.24173270348193884,0.12431142420589794,0.14673632681704743,0.21124329954279814,1.3920443894717308e-7
0.1,33,OnlineFPCA-sgd,0.1,4400,100,face,3,5,0.472339153289795,0.1567320221310039,0.14432092180963513,0.34243653741296054,0.10131172674942156,0.13631910181197443,0.1949967547824898,9.26480842668962e-8
0.1,33,OnlineFPCA-sgd,0.1,4500,100,face,3,5,0.472349882125854,0.1275147389162025,0.2147336590451841,0.23229759277445244,0.09080965233300262,0.11806836813927726,0.19216013374034605,9.26480842668962e-8
0.1,33,OnlineFPCA-sgd,0.1,4600,100,face,3,5,0.46576189994812,0.4138049513245241,0.28609545779497597,0.32505413378638887,0.08450136054411966,0.10106297347772578,0.1931326100024844,9.26480842668962e-8
0.1,33,OnlineFPCA-sgd,0.1,4700,100,face,3,5,0.464777708053589,0.14793958398703644,0.14846486705921677,0.3378503846693013,0.08104279813146646,0.09954991489536583,0.19639179785541278,6.28055372034751e-8
0.1,33,OnlineFPCA-sgd,0.1,4800,100,face,3,5,0.462817192077637,0.0891513200126469,0.17111499847048842,0.32284894386199514,0.07241225133232927,0.09927346074855124,0.20710034317308665,5.1857750837334824e-8
0.1,33,OnlineFPCA-sgd,0.1,4900,100,face,3,5,0.468773126602173,0.13830645749633297,0.2635554600924643,0.3148865782934005,0.06922485237653109,0.1025082851337832,0.2154667466893787,4.293598550423565e-8
0.1,33,OnlineFPCA-sgd,0.1,5000,100,face,3,5,0.46603536605835,0.3303333173295441,0.18724888194508554,0.2510045596313227,0.05531018575714689,0.10159115705699234,0.2163024912414909,4.293598550423565e-8
