noise,seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,tau
0.1,16,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.577237844467163,0.09152485548499918,0.32161824979920006,0.4126328074010963,0.06808970676210926,0.3853858280369347,0.4278505366015706,7.366055371142069e-5
0.1,16,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.599589586257935,0.1055116268400707,0.36294046936418156,0.34357474511872604,0.058553138165799344,0.37318051981673567,0.41853450877313314,3.223047776044357e-5
0.1,16,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.594675779342651,0.07103958715113794,0.3115196536863255,0.32322289572332635,0.05652570209491018,0.3640367649294852,0.4064381082250132,1.4595313059140263e-5
0.1,16,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.598555564880371,0.24583974865664834,0.33152186668959077,0.30152205245380254,0.05659895610649644,0.3563507203784264,0.39387280168003097,6.8179562475132715e-6
0.1,16,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.609549760818481,0.18573386712174383,0.2985046016084221,0.37203968807357024,0.05179087058130267,0.3478182941638351,0.3873070935312794,4.726210490474845e-6
0.1,16,OnlineFPCA-sgd,0.1,2000,100,face,3,5,0.623410940170288,0.27406126511572076,0.30474705439381905,0.28119312156683607,0.04057854302614249,0.3386054778905328,0.373706305492967,4.726210490474845e-6
0.1,16,OnlineFPCA-sgd,0.1,2100,100,face,3,5,0.587016344070435,0.26607590332434533,0.30312876859079224,0.2573720952391368,0.042631156898788616,0.3267618656308919,0.3610324275767078,4.726210490474845e-6
0.1,16,OnlineFPCA-sgd,0.1,2200,100,face,3,5,0.586567163467407,0.07700036617778777,0.22512743780038882,0.20953047492980276,0.042211687204524326,0.31472578169676313,0.3487321899071851,3.3954185715970382e-6
0.1,16,OnlineFPCA-sgd,0.1,2300,100,face,3,5,0.621960639953613,0.1821849400468069,0.18760133425595724,0.21596885492499443,0.0379237523995031,0.3032917127960043,0.33585904432715413,1.7883562055395638e-6
0.1,16,OnlineFPCA-sgd,0.1,2400,100,face,3,5,0.600898742675781,0.17409744899063792,0.23151724410521812,0.20482776690623422,0.03543419441699378,0.2909237496515604,0.3253102419443581,1.7883562055395638e-6
0.1,16,OnlineFPCA-sgd,0.1,2500,100,face,3,5,0.599050998687744,0.2112872081084546,0.216616522401899,0.27643599476295994,0.033281607154739434,0.27893259913549556,0.31651547219787246,1.3216840098935097e-6
0.1,16,OnlineFPCA-sgd,0.1,2600,100,face,3,5,0.588748931884766,0.11211524605739671,0.2410932836103089,0.37019677481579194,0.031530466676754396,0.2697525392510957,0.31272601171727976,1.3216840098935097e-6
0.1,16,OnlineFPCA-sgd,0.1,2700,100,face,3,5,0.576993227005005,0.15640981017651914,0.24429062500330515,0.28715318369729026,0.027484305879656917,0.2622943356802667,0.31089374790240604,9.924050391627843e-7
0.1,16,OnlineFPCA-sgd,0.1,2800,100,face,3,5,0.728617429733276,0.1801694409739404,0.27332951666119937,0.3983867646547849,0.026059555118408843,0.25633370299337777,0.3090665589196637,7.505474987433623e-7
0.1,16,OnlineFPCA-sgd,0.1,2900,100,face,3,5,0.57475471496582,0.14092839846416028,0.1592209110701329,0.21798783830586843,0.024286199976136992,0.25007896603952307,0.3046753839996397,4.3515478170212626e-7
0.1,16,OnlineFPCA-sgd,0.1,3000,100,face,3,5,0.5802321434021,0.12698029693861482,0.2318401988943278,0.24753427851991325,0.024614084327392004,0.24254836951263994,0.2973731353926652,3.3346669380949716e-7
0.1,16,OnlineFPCA-sgd,0.1,3100,100,face,3,5,0.575851678848267,0.3655096268195349,0.2011477823322159,0.3226155480779074,0.027361905300604686,0.23567104464302382,0.29267872985822796,3.3346669380949716e-7
0.1,16,OnlineFPCA-sgd,0.1,3200,100,face,3,5,0.577712535858154,0.26141379230619366,0.22211364518249418,0.36873686044571713,0.026230178027652942,0.23144829534344252,0.28987960433394505,2.5856338762018997e-7
0.1,16,OnlineFPCA-sgd,0.1,3300,100,face,3,5,0.578059196472168,0.15278286262209867,0.1757471825815004,0.2656711379402409,0.02615108907235051,0.22481391329530304,0.2864264687793878,2.5856338762018997e-7
0.1,16,OnlineFPCA-sgd,0.1,3400,100,face,3,5,0.548879861831665,0.17019910671777366,0.1244683278826589,0.23609173089380556,0.025227379259508926,0.2148470476724312,0.28123396368998016,2.5856338762018997e-7
0.1,16,OnlineFPCA-sgd,0.1,3500,100,face,3,5,0.551515340805054,0.16560484435999562,0.09119776092338826,0.2120183567625334,0.023039377965803024,0.20693987195631453,0.2756082471861345,2.5856338762018997e-7
0.1,16,OnlineFPCA-sgd,0.1,3600,100,face,3,5,0.562253952026367,0.13912755595942455,0.17897934772733487,0.13677305224501884,0.022541722377345697,0.19939442706351895,0.2692444101170812,2.5856338762018997e-7
0.1,16,OnlineFPCA-sgd,0.1,3700,100,face,3,5,0.545267105102539,0.15780605774480427,0.10643023165459263,0.16568116924674012,0.024309001223914765,0.19314367063984342,0.26214351622437126,2.5856338762018997e-7
0.1,16,OnlineFPCA-sgd,0.1,3800,100,face,3,5,0.548985242843628,0.18560614656026328,0.03371455772751263,0.18841947486270247,0.02514894678979338,0.18681884623607,0.2560657979910815,1.6468016416135133e-7
0.1,16,OnlineFPCA-sgd,0.1,3900,100,face,3,5,0.543504238128662,0.1385965586526866,0.1312325958152573,0.15945367625771265,0.023940607378615957,0.18134448111105314,0.2511055132665856,1.3196038356010907e-7
0.1,16,OnlineFPCA-sgd,0.1,4000,100,face,3,5,0.563863754272461,0.02325750220087891,0.17640258451553992,0.24690447693133621,0.02325750220087891,0.17640258451553992,0.24690447693133621,8.539408907232299e-8
0.1,16,OnlineFPCA-sgd,0.1,4100,100,face,3,5,0.56535792350769,0.1536222778585063,0.22852002030552732,0.20247772740959347,0.056369942694802166,0.21570643409642543,0.22550101546616916,8.539408907232299e-8
0.1,16,OnlineFPCA-sgd,0.1,4200,100,face,3,5,0.588551759719849,0.14515609457914533,0.23238867980740666,0.23723504448830024,0.08176421311330244,0.22075177891421519,0.22132946886303587,8.539408907232299e-8
0.1,16,OnlineFPCA-sgd,0.1,4300,100,face,3,5,0.608896017074585,0.22087400745358354,0.22958689976685426,0.22801720593972172,0.06787776497634654,0.18894620705806456,0.22879659003657662,6.943608963895989e-8
0.1,16,OnlineFPCA-sgd,0.1,4400,100,face,3,5,0.60327410697937,0.08726774461475821,0.21563839581364924,0.18007434465446273,0.054303836230161544,0.18325824130746554,0.20923467452092329,6.943608963895989e-8
0.1,16,OnlineFPCA-sgd,0.1,4500,100,face,3,5,0.587855577468872,0.1787214701213698,0.16688813122159044,0.19943631244571536,0.052827186069322137,0.18072999798000985,0.19914724442989512,6.943608963895989e-8
0.1,16,OnlineFPCA-sgd,0.1,4600,100,face,3,5,0.57336950302124,0.22230157919847243,0.3101890325268171,0.1560969407494449,0.07478350536298067,0.18446211144683464,0.1901657043364078,6.943608963895989e-8
0.1,16,OnlineFPCA-sgd,0.1,4700,100,face,3,5,0.596058130264282,0.37146207762111894,0.20320397677925794,0.17234011972719365,0.07296142574994843,0.1855993303720534,0.18419933267462313,6.943608963895989e-8
0.1,16,OnlineFPCA-sgd,0.1,4800,100,face,3,5,0.568402051925659,0.12977659329701605,0.20113722461237032,0.22032146102524142,0.06435161950981087,0.182845679704057,0.18299235116527326,5.733251550655938e-8
0.1,16,OnlineFPCA-sgd,0.1,4900,100,face,3,5,0.567964553833008,0.3277624631060528,0.31519817457085453,0.22916311525739563,0.06157214670872395,0.17820605945724713,0.17831940695512422,5.733251550655938e-8
0.1,16,OnlineFPCA-sgd,0.1,5000,100,face,3,5,0.552788019180298,0.2599128350379579,0.28513030136356526,0.15316980624611243,0.05337080518241036,0.17450490818050368,0.17404119544951227,5.733251550655938e-8
0.1,16,OnlineFPCA-sgd,0.1,5100,100,face,3,5,0.267651319503784,0.09221130946369623,0.255918035029,0.20974767181889223,0.048795790879332626,0.17442131273820277,0.16647983568042635,NA
0.1,16,OnlineFPCA-sgd,0.1,5200,100,face,3,5,0.113428115844727,0.13167128774468484,0.14914912730391777,0.22588213403851254,0.04298431064810111,0.17115201609040712,0.16232831555120064,NA
0.1,16,OnlineFPCA-sgd,0.1,5300,100,face,3,5,0.114428043365479,0.21911770758394997,0.14971370625047545,0.2191971306646806,0.03969517461538977,0.16661663617063646,0.16359422900024143,NA
0.1,16,OnlineFPCA-sgd,0.1,5400,100,face,3,5,0.114149332046509,0.18926048588066202,0.18322593577605967,0.1861199281462345,0.038525491553963835,0.16513282717948452,0.16480462684393823,NA
0.1,16,OnlineFPCA-sgd,0.1,5500,100,face,3,5,0.119187831878662,0.08942427072187262,0.19414467742679564,0.29308904382243595,0.040299794496250464,0.16323509910373585,0.1680062446554602,NA
0.1,16,OnlineFPCA-sgd,0.1,5600,100,face,3,5,0.1222243309021,0.11097273331854236,0.20686893152715646,0.23408324546950626,0.04113773574617144,0.1618990506565049,0.17180101706100345,NA
