noise,seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,tau
0.1,29,OnlineFPCA-sgd,0.1,0,100,face,3,5,2.29579377174377,0.06289868552362346,0.14204564572233172,0.14526273470857895,0.06289868552362346,0.14204564572233172,0.14526273470857895,1.0000000000000016e-5
0.1,29,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.634063482284546,0.4890264237936221,0.38386454791825286,0.35021939988063283,NA,NA,NA,1.0000000000000016e-5
0.1,29,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.470145225524902,0.7905241950648649,0.4287848311363958,0.32978045799118383,NA,NA,NA,5.8811906530777355e-5
0.1,29,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.456117868423462,0.6059786440591179,0.354163885334598,0.5072211228083323,NA,NA,NA,1.5493032695159807e-5
0.1,29,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.455056667327881,0.49673008098839105,0.34276938253743056,0.2241316457428198,NA,NA,NA,4.611029114533518e-5
0.1,29,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.463268756866455,0.6556935725515903,0.2639887250906855,0.5048449077257688,NA,NA,NA,4.611029114533518e-5
0.1,29,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.42171835899353,0.3982155535896947,0.23263229970671437,0.5184890171907292,NA,NA,NA,1.0481334594016379e-4
0.1,29,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.426731586456299,0.2303052322389153,0.2265689246049464,0.5009155846243659,NA,NA,NA,2.1905725934802676e-4
0.1,29,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.438765048980713,0.1859747293707704,0.20993135549812575,0.47803022033926934,NA,NA,NA,4.286772733906984e-4
0.1,29,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.387059688568115,0.1763439970665205,0.19316283875578039,0.4367954324810631,NA,NA,NA,4.286772733906984e-4
0.1,29,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.429383516311646,0.16623236370075237,0.16718898883291036,0.3901315100296719,NA,NA,NA,2.4139188735862162e-4
0.1,29,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.673967123031616,0.3361748421524064,0.2960893010595931,0.421090322812781,0.17523530741509402,0.21963065096174864,0.39352254668491143,1.4106254476544883e-4
