seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
67,Pspline-SGD,0.2,0,5,22.8307919502258,1.3983460582209803,0.9550375792738466,1.2137669587604338,1.4734007230158843,1.3983460582209803,0.9550375792738466,1.4742887121370298,1.0695855668127396
67,Pspline-SGD,0.2,100,5,1.03357911109924,1.391285114112715,0.9901653088796252,1.2230740790170416,1.4565107889404594,1.391285114112715,0.9901653088796252,1.4637961868895024,1.0780043238706933
67,Pspline-SGD,0.2,200,5,1.02106881141663,1.367213220401258,1.0217995749929394,1.2872113715103048,1.4530490012111086,1.367213220401258,1.0217995749929394,1.4703837812471683,1.117578247205018
67,Pspline-SGD,0.2,300,5,1.0379798412323,1.3387156747780118,1.0052485382547007,1.3706090256336272,1.448826901392833,1.3387156747780118,1.0052485382547007,1.478236258905965,1.1584632691572443
67,Pspline-SGD,0.2,400,5,1.03772306442261,1.317703822607656,0.9429330121131428,1.4401678468834311,1.4417704742517177,1.317703822607656,0.9429330121131428,1.4835042664701656,1.1947198331146387
67,Pspline-SGD,0.2,500,5,1.15556406974792,1.3050023999906175,0.8673016499263453,1.4792382552426673,1.4325423359018763,1.3050023999906175,0.8673016499263453,1.4851493663932767,1.2213065723752086
67,Pspline-SGD,0.2,600,5,1.02285265922546,1.297151862588412,0.804365076686242,1.494581025847658,1.423230583943992,1.297151862588412,0.804365076686242,1.4843497140704378,1.2391085738442473
67,Pspline-SGD,0.2,700,5,1.02314066886902,1.2917837821172735,0.7604785576059389,1.4975598862675588,1.415223283935295,1.2917837821172735,0.7604785576059389,1.4824593908482202,1.2509969323879473
67,Pspline-SGD,0.2,800,5,1.02708458900452,1.287831787227973,0.7321250198686807,1.4954734546273472,1.4088626443771561,1.287831787227973,0.7321250198686807,1.4803108338132664,1.2591895268807114
67,Pspline-SGD,0.2,900,5,1.03435206413269,1.284810908987797,0.7143924383603605,1.4918436875834207,1.4039839313440923,1.284810908987797,0.7143924383603605,1.4782968392350067,1.265034635915861
67,Pspline-SGD,0.2,1000,5,1.033447265625,1.2824497009776081,0.7033136981478345,1.4881254447137215,1.400279850654789,1.2824497009776081,0.7033136981478345,1.476561888009008,1.2693343311677412
67,Pspline-SGD,0.2,1100,5,1.02792239189148,1.2805784784484393,0.6963965364830524,1.4848425425291005,1.3974707314888235,1.2805784784484393,0.6963965364830524,1.475136702951184,1.2725780151726491
67,Pspline-SGD,0.2,1200,5,1.02857995033264,1.279051193524238,0.6919640721452267,1.4820986445550008,1.3953252073466476,1.279051193524238,0.6919640721452267,1.4739939659571202,1.2750533827547295
67,Pspline-SGD,0.2,1300,5,1.02561712265015,1.277840267784946,0.6894270500077317,1.4799230863948425,1.3936947196267206,1.277840267784946,0.6894270500077317,1.4730960404363653,1.2770441524562413
67,Pspline-SGD,0.2,1400,5,1.03314805030823,1.2768051216861216,0.6878323013905032,1.4781746508626583,1.3924289358380477,1.2768051216861216,0.6878323013905032,1.4723978222552425,1.2786109950635478
67,Pspline-SGD,0.2,1500,5,1.03341031074524,1.2759232376241183,0.6870655796326901,1.4768052826539653,1.3914530851686526,1.2759232376241183,0.6870655796326901,1.4718667809607457,1.2799129629406778
67,Pspline-SGD,0.2,1600,5,1.02864623069763,1.2751693253161682,0.6868083628883623,1.4757327140134278,1.390689190772559,1.2751693253161682,0.6868083628883623,1.4714653729315024,1.2810027480431976
67,Pspline-SGD,0.2,1700,5,1.0306921005249,1.2745115848524826,0.6868948392286446,1.4748914525907817,1.39008724502229,1.2745115848524826,0.6868948392286446,1.471168771439708,1.2819361413655956
67,Pspline-SGD,0.2,1800,5,1.03032040596008,1.2739182822508464,0.6872684102825183,1.47422723251416,1.3896083494745173,1.2739182822508464,0.6872684102825183,1.4709552926674945,1.282756708664521
67,Pspline-SGD,0.2,1900,5,1.03004360198975,1.2733833755435189,0.6877812548556984,1.473697807299959,1.3892201430745863,1.2733833755435189,0.6877812548556984,1.4708078923259909,1.2834821642183145
67,Pspline-SGD,0.2,2000,5,1.01194524765015,1.2728947810088935,0.6884692047349289,1.4732777309825946,1.3889062150705032,1.2728947810088935,0.6884692047349289,1.470713165987552,1.284147120454071
67,Pspline-SGD,0.2,2100,5,1.04086017608643,1.2724322973915243,0.6892460559556752,1.472933478147608,1.3886439747692434,1.2724322973915243,0.6892460559556752,1.4706598015610848,1.2847616187155944
67,Pspline-SGD,0.2,2200,5,1.02976608276367,1.2719928056582772,0.6901043312980932,1.4726476694107087,1.3884231279257668,1.2719928056582772,0.6901043312980932,1.4706403949126428,1.2853365926040754
67,Pspline-SGD,0.2,2300,5,1.02796840667725,1.271566898343903,0.6909834551036016,1.4724011057640163,1.3882300890917216,1.271566898343903,0.6909834551036016,1.4706421210649394,1.2858736606317847
67,Pspline-SGD,0.2,2400,5,1.03527021408081,1.2711568480888809,0.6918735954544769,1.4721890532565125,1.3880609669206045,1.2711568480888809,0.6918735954544769,1.4706688019751468,1.2863853380990837
67,Pspline-SGD,0.2,2500,5,1.01081013679504,1.2708011061105349,0.692724692927309,1.4720145900195807,1.3879049977223663,1.2708011061105349,0.692724692927309,1.4707133486828474,1.2868876091454222
67,Pspline-SGD,0.2,2600,5,1.04131865501404,1.270449800600322,0.6937011749626806,1.4718643787684207,1.3877653645033643,1.270449800600322,0.6937011749626806,1.4707739421279467,1.2873758067598349
67,Pspline-SGD,0.2,2700,5,1.01459050178528,1.2700557930825644,0.6945614490019832,1.4716938803599193,1.3876262161028088,1.2700557930825644,0.6945614490019832,1.4708393542060976,1.287817467855366
67,Pspline-SGD,0.2,2800,5,1.03386521339417,1.2696652262917456,0.6956875146421464,1.4715536229933082,1.3874965784316922,1.2696652262917456,0.6956875146421464,1.4709107160157424,1.2883042649773202
67,Pspline-SGD,0.2,2900,5,1.03540420532227,1.2692754173315548,0.6965227881125021,1.4713882239322553,1.3873662356979413,1.2692754173315548,0.6965227881125021,1.470997516685079,1.2887172602468173
67,Pspline-SGD,0.2,3000,5,1.13033246994019,1.2689341069542002,0.6976168438898791,1.47127147308309,1.3872377944802965,1.2689341069542002,0.6976168438898791,1.4710913578312592,1.2891854956559536
67,Pspline-SGD,0.2,3100,5,1.03401303291321,1.268622281069245,0.6987131977556437,1.4711668844134937,1.3871071973058917,1.268622281069245,0.6987131977556437,1.47119725222202,1.289656929461393
67,Pspline-SGD,0.2,3200,5,1.02218127250671,1.2682914549987119,0.6997806533066183,1.4710509185599867,1.3869775415509225,1.2682914549987119,0.6997806533066183,1.4713089068421588,1.2901095815608907
67,Pspline-SGD,0.2,3300,5,1.02782940864563,1.2678652459168467,0.7007744545136235,1.470879294506521,1.3868450777027495,1.2678652459168467,0.7007744545136235,1.4714234221495734,1.2905118539031069
67,Pspline-SGD,0.2,3400,5,1.04170489311218,1.2675392624797297,0.7016714337486061,1.4707548298649078,1.3867011741513162,1.2675392624797297,0.7016714337486061,1.4715203914050512,1.2909521547444958
67,Pspline-SGD,0.2,3500,5,1.02578473091125,1.2672667717186195,0.7024110411806033,1.470636129984927,1.3865524946597783,1.2673735679182,0.7025944677767321,1.471665915739069,1.2914029198615202
67,Pspline-SGD,0.2,3600,5,1.06368470191956,1.266992076537329,0.7033625258548418,1.470535277008174,1.3864122190121928,1.2672299264717217,0.7030576571778092,1.4717354992903042,1.2916079379100993
67,Pspline-SGD,0.2,3700,5,1.06408357620239,1.266597834850701,0.7046227736096431,1.4704014905907445,1.3862740214890743,1.2670630421173539,0.703622219788404,1.4718002595596884,1.2918322581676631
67,Pspline-SGD,0.2,3800,5,1.06515121459961,1.2661840128387345,0.7055646412146531,1.4702273264291532,1.3861146801855304,1.2668505961058996,0.7041558796172263,1.4718593533161,1.29204149835747
67,Pspline-SGD,0.2,3900,5,1.06737351417542,1.266112443145664,0.7059650799029973,1.4701907866304427,1.385887538421749,1.266702499532935,0.7045920082429632,1.47192320673348,1.292252043928046
67,Pspline-SGD,0.2,4000,5,1.04794931411743,1.2657156422764897,0.70631787623612,1.470014767480851,1.3856851006731996,1.2665462399460536,0.7049666571425445,1.4719819265563665,1.2924525894200887
67,Pspline-SGD,0.2,4100,5,1.06878662109375,1.2653925047550132,0.7066966270146944,1.469800043702413,1.3854684881255301,1.2663932626675383,0.7052182211355291,1.4720479923721617,1.2926185140286577
67,Pspline-SGD,0.2,4200,5,1.05053424835205,1.2640286608545246,0.70464812069966265,1.4689842640412039,1.38522285335121,1.2661776027647076,0.7052864801033373,1.4721057257417012,1.292724653519276
67,Pspline-SGD,0.2,4300,5,1.05774879455566,1.2640293991694223,0.7055889251692312,1.4690063814198948,1.3849805304683862,1.2659592346062216,0.7054439927859739,1.4721754683352197,1.292845368205148
67,Pspline-SGD,0.2,4400,5,1.06372833251953,1.2625286166787577,0.7027667868575225,1.4678500770830007,1.3847458809590998,1.2655517411118282,0.7049076836532988,1.4722103909813788,1.2927676377763888
67,Pspline-SGD,0.2,4500,5,1.01705312728882,1.2619984533575783,0.7022403845561213,1.4673824202338182,1.3840764505840235,1.265228783757221,0.7046230531219958,1.4722332851927327,1.2927650999670979
67,Pspline-SGD,0.2,4600,5,1.0330650806427,1.2573988188619336,0.6981841842974773,1.4643670815646084,1.3837266224533031,1.2645666928960264,0.703870559413014,1.472226494325086,1.2925791784615508
