seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
12,Pspline-SGD,0.3,1300,5,1.0073766708374,0.531817340548323,1.444358911340795,1.4759804153033722,0.6066186375335103,0.531817340548323,0.5549500459153732,0.3554914009175925,0.6066186375335103
12,Pspline-SGD,0.3,1400,5,1.00101447105408,0.5665869772290391,1.4598368034141813,1.4862349518566365,0.4306921074062222,0.5665869772290391,0.5786109144523414,0.279169384596804,0.4306921074062222
12,Pspline-SGD,0.3,1500,5,0.99505090713501,0.5365713178224554,1.4665584716496272,1.488392636643931,0.3996264697080724,0.5365713178224554,0.5521502573293462,0.26728209300545924,0.3996264697080724
12,Pspline-SGD,0.3,1600,5,1.00227499008179,0.5428763441308933,1.4671778771997563,1.4897121557997655,0.33547664353692047,0.5428763441308933,0.5540155193253181,0.24725868928750458,0.33547664353692047
12,Pspline-SGD,0.3,1700,5,1.02286148071289,0.5288670167403559,1.473886190662937,1.498139381253592,0.3552925600875092,0.5288670167403559,0.5507847293809327,0.23356673612830212,0.3552925600875092
12,Pspline-SGD,0.3,1800,5,1.02400922775269,0.5284010771531646,1.4693423149662568,1.4863912132223451,0.35028579930481263,0.5284010771531646,0.5389970258599429,0.22538235787721572,0.35028579930481263
12,Pspline-SGD,0.3,1900,5,1.00126886367798,0.5303603500335807,1.459627174455586,1.469875978131268,0.3854643449564586,0.5303603500335807,0.5278778292993922,0.20866204065799998,0.3854643449564586
12,Pspline-SGD,0.3,2000,5,1.00971555709839,0.5039975988667592,1.4591602622049655,1.4634985767611077,0.375181410821818,0.5039975988667592,0.4927838655528719,0.1975272329755662,0.375181410821818
12,Pspline-SGD,0.3,2100,5,1.12017178535461,0.4864513660787306,1.448910106397629,1.456972700020733,0.3503612410332598,0.4864513660787306,0.4927266194691955,0.19281425734038568,0.3503612410332598
12,Pspline-SGD,0.3,2200,5,0.990155458450317,0.46178413279740405,1.4564155226084974,1.444489292515697,0.41304045938710193,0.46178413279740405,0.49370992309001827,0.2524479908918792,0.41304045938710193
12,Pspline-SGD,0.3,2300,5,1.0099196434021,0.43612192669600985,1.4446458536272548,1.4451809520993895,0.41551925175200993,0.43612192669600985,0.4853510839504439,0.1877773679381397,0.41551925175200993
12,Pspline-SGD,0.3,2400,5,1.01016187667847,0.5086596343798464,1.4612292752207803,1.467334275075819,0.43761373480962884,0.5086596343798464,0.5117276536045468,0.21156771369031804,0.43761373480962884
12,Pspline-SGD,0.3,2500,5,1.013258934021,0.5177380597012289,1.4568812859931302,1.4620904174089753,0.49161299231499167,0.5177380597012289,0.5327844361059195,0.19938751322649514,0.49161299231499167
12,Pspline-SGD,0.3,2600,5,1.01408863067627,0.5064940966316716,1.455606547300526,1.4667913923069384,0.49172683611021234,0.5064940966316716,0.5184311894806922,0.2218227837991895,0.49172683611021234
12,Pspline-SGD,0.3,2700,5,1.01740217208862,0.47590645659417874,1.441784238870089,1.4411993734514088,0.3651812318569841,0.47590645659417874,0.4737308640820014,0.1814317066900597,0.3651812318569841
12,Pspline-SGD,0.3,2800,5,1.01869440078735,0.4766775278943839,1.4337190585194035,1.4224866133079888,0.30169807321065356,0.4766775278943839,0.50410984396408,0.19940354258352938,0.30169807321065356
12,Pspline-SGD,0.3,2900,5,1.01336050033569,0.45040240070128823,1.414615153230704,1.418281347925579,0.40329785187426453,0.45040240070128823,0.45159494020949853,0.1722532809612685,0.40329785187426453
12,Pspline-SGD,0.3,3000,5,1.00802969932556,0.43192795167780657,1.4323150834206781,1.4408357904962024,0.4557759395359977,0.43192795167780657,0.3922199641489007,0.18533823570517338,0.4557759395359977
12,Pspline-SGD,0.3,3100,5,1.01427316665649,0.3119365325744334,1.4362072259352374,1.4330286000934347,0.4055788001933451,0.3119365325744334,0.3260367960576171,0.16404254273762042,0.4055788001933451
12,Pspline-SGD,0.3,3200,5,1.02292680740356,0.31200729349054396,1.426340266956885,1.4208530930699805,0.3711152997995718,0.31200729349054396,0.30284451594329087,0.13661252509127644,0.3711152997995718
12,Pspline-SGD,0.3,3300,5,1.13615298271179,0.3043221170377056,1.4252066211074845,1.4248434598745219,0.3292650899236149,0.3043221170377056,0.3192953427457131,0.15334896591623873,0.3292650899236149
12,Pspline-SGD,0.3,3400,5,1.01402068138123,0.3435352190463629,1.4078994719859237,1.4040631169808837,0.3440675689638515,0.3435352190463629,0.33413811468627364,0.13778325891777268,0.3440675689638515
12,Pspline-SGD,0.3,3500,5,1.01164627075195,0.3207737266039613,1.4241483234113343,1.4266224741264635,0.3291673719524696,0.32819855243198287,0.33557248587136895,0.1660489156689787,0.32046867064682494
12,Pspline-SGD,0.3,3600,5,1.04383730888367,0.33473512420195783,1.3892945326897912,1.3901182104123684,0.2753939538693189,0.31701714038803325,0.33344123932043074,0.17053447991244697,0.2904315008774674
12,Pspline-SGD,0.3,3700,5,1.04341077804565,0.3174327141918086,1.3976818559622985,1.394997477350975,0.24413346545746634,0.31687845322863223,0.3255952279023606,0.15855536447915805,0.27291969236404
12,Pspline-SGD,0.3,3800,5,1.05320382118225,0.29741281710069606,1.3916718757988609,1.3837075628057411,0.23812050847964755,0.3103787612502496,0.32010403891536793,0.14729954077092114,0.26109300400934465
12,Pspline-SGD,0.3,3900,5,1.0488703250885,0.30502151938976035,1.3908732481324673,1.3832180830311966,0.18353145258061898,0.30451336633268433,0.31413084801304775,0.1439235065801723,0.2448135690357594
12,Pspline-SGD,0.3,4000,5,1.04105424880981,0.2856433391481287,1.396335497479644,1.391969649299853,0.19632307551560804,0.30004696459034585,0.3123352800751319,0.14399312209202353,0.2276739572008755
12,Pspline-SGD,0.3,4100,5,1.04567360877991,0.33887598003854646,1.3945946924366917,1.3828460669088158,0.20043864148949098,0.29452098886042477,0.30969667417042374,0.14578238153915546,0.21784699288993098
12,Pspline-SGD,0.3,4200,5,1.05803656578064,0.2620705492251179,1.3956582157690722,1.3945323503298988,0.20516078036948826,0.2897347435462913,0.30417085958800194,0.14306339520545816,0.2123075490100708
12,Pspline-SGD,0.3,4300,5,1.05019950866699,0.2818552666476409,1.3961281965582035,1.4022628628381322,0.19507187299388232,0.2846629322520093,0.2995544517890586,0.133716397949203,0.2074978293436422
12,Pspline-SGD,0.3,4400,5,1.05543112754822,0.22952282796990697,1.4032156478972997,1.407605180924448,0.20077620136333496,0.27944504555758565,0.2963807510262322,0.12761274098973183,0.2057035994519585
12,Pspline-SGD,0.3,4500,5,1.17228245735168,0.24051742540929558,1.3714718469266494,1.382647613743309,0.24577037441105692,0.2727798172776853,0.29262834609243327,0.12444034351492804,0.20611577436027642
12,Pspline-SGD,0.3,4600,5,1.04187273979187,0.23321761800705174,1.3462963361011027,1.3626297869587198,0.2134573261001876,0.26829087799420465,0.2901890028090044,0.1257602722479284,0.2076939475772248
12,Pspline-SGD,0.3,4700,5,1.05224990844727,0.29019203979216707,1.3528734339543746,1.3512852993775422,0.2071618545803241,0.26354820793170064,0.2876531281663746,0.12511824158487944,0.20671381365210442
12,Pspline-SGD,0.3,4800,5,1.05333471298218,0.2332511272956207,1.3598983944026015,1.3568877393356515,0.19463016266466854,0.26116492513167033,0.2857000851809884,0.12497860418501372,0.20490882680799513
12,Pspline-SGD,0.3,4900,5,1.04703712463379,0.2585207974491228,1.3410795235247068,1.3478497960089424,0.25136742068771384,0.2590453801009437,0.28425732561410205,0.12400474135310154,0.20025362873289113
12,Pspline-SGD,0.3,5000,5,1.04397892951965,0.2250247309504522,1.363683411009307,1.3665653376684326,0.20151099848599546,0.2561773022795609,0.2822967402083717,0.12326051505248789,0.19787124509312065
12,Pspline-SGD,0.3,5100,5,0.173002004623413,0.31052392969641157,1.3399484258247671,1.3449709096783036,0.2616421022984182,0.25487742382839085,0.28201392539405534,0.12352610426421129,0.19773347151429543
12,Pspline-SGD,0.3,5200,5,0.174962759017944,0.2684901988926912,1.3508983172366855,1.3546644466206892,0.21665677469411448,0.25426188449293574,0.2816408005295553,0.12428708769894296,0.19755073393419376
12,Pspline-SGD,0.3,5300,5,0.175409555435181,0.23719768502557947,1.350308731223664,1.3403585593823242,0.18754000484192315,0.25102031242835227,0.27931388950219127,0.12500649776655914,0.19602733210770193
12,Pspline-SGD,0.3,5400,5,0.177224397659302,0.23016413122903942,1.342585298293531,1.346119151215536,0.24888791099042898,0.2488098143643963,0.27796625697251137,0.12512288410833247,0.19273149188242528
12,Pspline-SGD,0.3,5500,5,0.173243761062622,0.1878930419168862,1.3531122535804028,1.3558968397136577,0.30972558322573496,0.2458356496067047,0.2759900793703932,0.12532532358245632,0.1921402149502478
12,Pspline-SGD,0.3,5600,5,0.174924850463867,0.1852377192616895,1.3502823765314063,1.355098786913182,0.2688287103791599,0.24217157827221272,0.27321184795473247,0.1261648095729234,0.19282852465074202
12,Pspline-SGD,0.3,5700,5,0.177603244781494,0.22078319727001042,1.348180831792386,1.3577012976747798,0.3569556867937701,0.23842385250502754,0.2706772485955939,0.1279990846031912,0.19412200323418705
12,Pspline-SGD,0.3,5800,5,0.175349712371826,0.17782093866605206,1.3826495318241998,1.3862804599808958,0.29917318200947257,0.2350759884210751,0.2684579421796038,0.12968297664253903,0.1955073644146514
12,Pspline-SGD,0.3,5900,5,0.172605514526367,0.1740169435927391,1.3593567798085429,1.3750259827909421,0.3081041775026214,0.23159344250243102,0.26565065342394006,0.13100493458255708,0.19638658707460172
