seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
99,Pspline-SGD,0.3,0,5,34.0422813892365,0.9515359990727285,1.3656355857139133,1.2144403218683653,1.4261001481126223,0.9515359990727285,1.3656355857139133,1.2144403218683653,1.4261001481126223
99,Pspline-SGD,0.3,100,5,0.999839305877686,0.9736662919194157,1.3739795408803581,1.2141907135685117,1.414001290659846,0.9736662919194157,1.3739795408803581,1.2141907135685117,1.414001290659846
99,Pspline-SGD,0.3,200,5,0.984483480453491,0.9823520839892905,1.3773668441731188,1.229710949923114,1.4279507054287994,0.9823520839892905,1.3773668441731188,1.229710949923114,1.4279507054287994
99,Pspline-SGD,0.3,300,5,0.982107162475586,0.9293164208226113,1.4027202890192723,1.272100941173776,1.443303358454619,0.9293164208226113,1.4027202890192723,1.272100941173776,1.443303358454619
99,Pspline-SGD,0.3,400,5,0.981612920761108,0.9981026015251624,1.4032908981692271,1.3459494098364926,1.4529010812754275,0.9981026015251624,1.4032908981692271,1.3459494098364926,1.4529010812754275
99,Pspline-SGD,0.3,500,5,0.975818157196045,1.0667754732026928,1.402120826317319,1.4061104200006342,1.4521037302116884,1.0667754732026928,1.402120826317319,1.4061104200006342,1.4521037302116884
99,Pspline-SGD,0.3,600,5,0.982275485992432,1.1294639028169644,1.4002319341134064,1.436049684282333,1.4469579872566145,1.1294639028169644,1.4002319341134064,1.436049684282333,1.4469579872566145
99,Pspline-SGD,0.3,700,5,0.986391544342041,1.1793063298316404,1.397486950755337,1.4455930508351125,1.4414129010066512,1.1793063298316404,1.397486950755337,1.4455930508351125,1.4414129010066512
99,Pspline-SGD,0.3,800,5,0.980161666870117,1.2050424362774261,1.3916589190287294,1.4434562708482237,1.4368714506237719,1.2050424362774261,1.3916589190287294,1.4434562708482237,1.4368714506237719
99,Pspline-SGD,0.3,900,5,1.10499095916748,1.224119783678436,1.3880311879035305,1.4381800147078623,1.4331803058784411,1.224119783678436,1.3880311879035305,1.4381800147078623,1.4331803058784411
99,Pspline-SGD,0.3,1000,5,0.976566076278687,1.238769499669131,1.389155212103594,1.4350532913322755,1.4302410059411448,1.238769499669131,1.389155212103594,1.4350532913322755,1.4302410059411448
99,Pspline-SGD,0.3,1100,5,0.975062847137451,1.2521551374332738,1.3867839641445567,1.42969768376032,1.428365438383528,1.2521551374332738,1.3867839641445567,1.42969768376032,1.428365438383528
99,Pspline-SGD,0.3,1200,5,0.977483749389648,1.2614784555200746,1.3798189481794692,1.4213319942377456,1.4277483716962054,1.2614784555200746,1.3798189481794692,1.4213319942377456,1.4277483716962054
99,Pspline-SGD,0.3,1300,5,0.974304437637329,1.263966835841976,1.3752108955922404,1.4143160907617431,1.427010702824818,1.263966835841976,1.3752108955922404,1.4143160907617431,1.427010702824818
99,Pspline-SGD,0.3,1400,5,0.978235960006714,1.2653766547399001,1.3780497360649602,1.4146276661204655,1.4248680248787728,1.2653766547399001,1.3780497360649602,1.4146276661204655,1.4248680248787728
99,Pspline-SGD,0.3,1500,5,0.98604941368103,1.2684589327725893,1.3727209748064808,1.4088582436483872,1.424656389216987,1.2684589327725893,1.3727209748064808,1.4088582436483872,1.424656389216987
99,Pspline-SGD,0.3,1600,5,0.974106550216675,1.2677198464567458,1.3771734478467352,1.4104552056257373,1.4227721272034308,1.2677198464567458,1.3771734478467352,1.4104552056257373,1.4227721272034308
99,Pspline-SGD,0.3,1700,5,0.981815099716187,1.269071527210914,1.3723598362063365,1.4056486665975232,1.4225733932795692,1.269071527210914,1.3723598362063365,1.4056486665975232,1.4225733932795692
99,Pspline-SGD,0.3,1800,5,0.975136995315552,1.2692971923746184,1.3729261000895578,1.404696159223156,1.421642581606029,1.2692971923746184,1.3729261000895578,1.404696159223156,1.421642581606029
99,Pspline-SGD,0.3,1900,5,0.980297565460205,1.2706987132719443,1.3682434662313934,1.3998826465822714,1.4216033949910374,1.2706987132719443,1.3682434662313934,1.3998826465822714,1.4216033949910374
99,Pspline-SGD,0.3,2000,5,0.975616693496704,1.2714986349766557,1.3682352961521744,1.3990926441706069,1.42090475157377,1.2714986349766557,1.3682352961521744,1.3990926441706069,1.42090475157377
99,Pspline-SGD,0.3,2100,5,1.0993926525116,1.2731494840116293,1.3654255440957788,1.396403218673196,1.4205352100722406,1.2731494840116293,1.3654255440957788,1.396403218673196,1.4205352100722406
99,Pspline-SGD,0.3,2200,5,0.966683387756348,1.278458858465852,1.3631164456459526,1.394334448194561,1.420416957504132,1.278458858465852,1.3631164456459526,1.394334448194561,1.420416957504132
99,Pspline-SGD,0.3,2300,5,0.979483842849731,1.279512316789126,1.358342987117355,1.390028778596804,1.4213050260529505,1.279512316789126,1.358342987117355,1.390028778596804,1.4213050260529505
99,Pspline-SGD,0.3,2400,5,0.978370904922485,1.2818980291351127,1.3503042474420264,1.3836568792979478,1.4227478863133758,1.2818980291351127,1.3503042474420264,1.3836568792979478,1.4227478863133758
99,Pspline-SGD,0.3,2500,5,0.976422548294067,1.2856375598390528,1.3460765690275458,1.3794877355448971,1.4229876153742615,1.2856375598390528,1.3460765690275458,1.3794877355448971,1.4229876153742615
99,Pspline-SGD,0.3,2600,5,0.977138996124268,1.2907047845471356,1.3352927212583119,1.3709098576526093,1.4252566038451213,1.2907047845471356,1.3352927212583119,1.3709098576526093,1.4252566038451213
99,Pspline-SGD,0.3,2700,5,0.975934505462646,1.288950796552007,1.32808593904803,1.3644013458725566,1.426480193032569,1.288950796552007,1.32808593904803,1.3644013458725566,1.426480193032569
99,Pspline-SGD,0.3,2800,5,0.982876539230347,1.2873190913225574,1.3237041911345868,1.3594973770985286,1.427993916900768,1.2873190913225574,1.3237041911345868,1.3594973770985286,1.427993916900768
99,Pspline-SGD,0.3,2900,5,0.97982382774353,1.2843368694177126,1.3254597296858142,1.3600267253462102,1.4265436858218892,1.2843368694177126,1.3254597296858142,1.3600267253462102,1.4265436858218892
99,Pspline-SGD,0.3,3000,5,0.975658655166626,1.282874071476428,1.3189329139195134,1.3538623804000565,1.4276167100279356,1.282874071476428,1.3189329139195134,1.3538623804000565,1.4276167100279356
99,Pspline-SGD,0.3,3100,5,0.988383769989014,1.2799869206454184,1.3178223342562465,1.3517164511595254,1.427219517355103,1.2799869206454184,1.3178223342562465,1.3517164511595254,1.427219517355103
99,Pspline-SGD,0.3,3200,5,0.977426290512085,1.2790325581964985,1.3156503156060824,1.348751508814171,1.4273009251822366,1.2790325581964985,1.3156503156060824,1.348751508814171,1.4273009251822366
99,Pspline-SGD,0.3,3300,5,1.09114241600037,1.279243314741961,1.316349638042882,1.3488171394301411,1.4262912755418564,1.279243314741961,1.316349638042882,1.3488171394301411,1.4262912755418564
