noise,seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
0.1,60,OnlineFPCA-sgd,0.2,0,5,9.07340455055237,0.16561763539620886,0.19134976514508725,0.14616088335881178,0.16561763539620886,0.19134976514508725,0.14616088335881178
0.1,60,OnlineFPCA-sgd,0.2,100,5,0.470227718353271,1.2763306642529288,1.3663891197047129,1.1146529506347183,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,200,5,0.368563175201416,0.9322404935580584,1.0837358327879898,1.2738640516428879,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,300,5,0.359720945358276,1.420862168752407,1.4044224195465076,1.1815153874224902,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,400,5,0.360866546630859,0.9288031558127908,0.8644674128215812,0.7644555832327053,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,500,5,0.368125200271606,0.793248100047906,0.8810943647907111,0.9406907674857995,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,600,5,0.50405216217041,0.7074655195291176,0.8202687430047371,0.8651190124975894,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,700,5,0.342277526855469,0.5579463249901945,0.7508883049034311,0.8354929747490688,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,800,5,0.344789028167725,0.4311372032608399,0.6808073233319045,0.7943818753207327,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,900,5,0.342682838439941,0.30726593505231165,0.630638999978684,0.7384130707920286,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,1000,5,0.343092203140259,0.2320434702039702,0.56988575738982294,0.6643828478296382,NA,NA,NA
0.1,60,OnlineFPCA-sgd,0.2,1100,5,0.495720624923706,1.463888612908981,1.4164680968927448,0.4310545410933418,0.9449395600503384,0.9559557469918998,0.3270662906430849
0.1,60,OnlineFPCA-sgd,0.2,1200,5,0.467458724975586,0.5294449225032194,0.41623479428028265,0.4008468911355877,0.1438198928984383,0.2536470906979,0.35719259300245854
0.1,60,OnlineFPCA-sgd,0.2,1300,5,0.469701051712036,0.6250853904790517,0.582962153321622,0.43619657159368713,0.12088353473641972,0.21877799644040472,0.31771831982106036
0.1,60,OnlineFPCA-sgd,0.2,1400,5,0.47132420539856,0.622155552769747,0.5715208015527479,0.5255307131434439,0.16513608609895564,0.23215858013273685,0.2919545890927828
0.1,60,OnlineFPCA-sgd,0.2,1500,5,0.469374656677246,0.5109954240907136,0.5464257743303519,0.5591401595755862,0.1298283857222486,0.20974550612248558,0.2856107927852527
0.1,60,OnlineFPCA-sgd,0.2,1600,5,0.468703746795654,0.5590121906849576,0.3598221810310371,0.3098624376665772,0.1097607623999169,0.1662261696308023,0.26923402733043517
0.1,60,OnlineFPCA-sgd,0.2,1700,5,0.469090938568115,0.36679679725871517,0.3496700793101531,0.3262002753185219,0.11370181594052646,0.1374556383130519,0.24753561509109898
0.1,60,OnlineFPCA-sgd,0.2,1800,5,0.469230890274048,0.39563400050553404,0.3405955409267239,0.42652220944309416,0.13570209834576447,0.13037617089594236,0.2541621889213793
