noise,seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
0.1,72,OnlineFPCA-sgd,0.2,0,5,9.13784837722778,0.10781174468861776,0.3117592462457531,0.32499609176714644,0.10781174468861776,0.3117592462457531,0.32499609176714644
0.1,72,OnlineFPCA-sgd,0.2,100,5,0.643791913986206,1.1369280863363291,1.2131033881059248,0.974543848453919,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,200,5,0.507297515869141,1.317549865783574,1.4887902681460086,0.8582257405984922,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,300,5,0.495316505432129,0.9689665216680025,1.2005896647526908,1.1695230343966958,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,400,5,0.516030073165894,0.8248892758321945,1.0718167204799365,0.8513633427185342,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,500,5,0.535266876220703,0.9295985648688441,0.8868611748906238,1.055025814090741,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,600,5,0.651858329772949,0.7832284850516446,0.7179630919981761,1.0217509816189845,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,700,5,0.507218360900879,0.619472386006688,0.5777137415840133,0.9266991767488661,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,800,5,0.477921724319458,0.4829629029167353,0.4908579461365763,0.8781293336901976,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,900,5,0.497649431228638,0.3814277741415692,0.4302616725968271,0.8051747788244284,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,1000,5,0.468145847320557,0.3103355052781506,0.36534066334642934,0.7276275282982889,NA,NA,NA
0.1,72,OnlineFPCA-sgd,0.2,1100,5,0.706023454666138,1.134033005540172,1.118602211112118,0.7336235935934738,0.9375546798896649,1.0115377577211109,0.6650012519939179
0.1,72,OnlineFPCA-sgd,0.2,1200,5,0.670737028121948,0.556277720148858,0.45431474513663594,0.29480752881268557,0.5877189178508505,0.610858636600003,0.3669555688596027
0.1,72,OnlineFPCA-sgd,0.2,1300,5,0.662576198577881,0.40974815801069836,0.3226586761017392,0.43541260343933014,0.43526775376786786,0.4468608184689611,0.2821804266909539
0.1,72,OnlineFPCA-sgd,0.2,1400,5,0.655173778533936,0.39279895082628397,0.37382351305431394,0.4033825207970213,0.26899923605265946,0.29085483733805195,0.23259323216753566
0.1,72,OnlineFPCA-sgd,0.2,1500,5,0.652785062789917,0.48109137370253025,0.47627332704174175,0.5254555136055353,0.17304449414609027,0.18901291675165519,0.20208586440711981
0.1,72,OnlineFPCA-sgd,0.2,1600,5,0.636283874511719,0.33036971791939657,0.35273945045543914,0.3497013089917579,0.11350191230245131,0.136901819788311,0.19982050538018095
0.1,72,OnlineFPCA-sgd,0.2,1700,5,0.672531843185425,0.39595197626283796,0.36026450849455416,0.26515116597576865,0.08257553316807777,0.12429475023963434,0.19512752849488765
0.1,72,OnlineFPCA-sgd,0.2,1800,5,0.6617431640625,0.2330014660218997,0.27914236974774165,0.24173907760518568,0.07311445245720591,0.12152278765871095,0.190900147150725
0.1,72,OnlineFPCA-sgd,0.2,1900,5,0.650506734848022,0.31062996276992444,0.3792322752430276,0.3310397789073314,0.07459955418062819,0.12931827106663943,0.18740066182623566
0.1,72,OnlineFPCA-sgd,0.2,2000,5,0.656514883041382,0.17055139271665462,0.26573364516566683,0.2479767122975826,0.07197521731387012,0.13753860167299214,0.18655719792638525
0.1,72,OnlineFPCA-sgd,0.2,2100,5,0.689477205276489,0.4374408275621325,0.43401382451879,0.35370653959435444,0.07061293174760164,0.14247044205307166,0.1858671443427294
0.1,72,OnlineFPCA-sgd,0.2,2200,5,0.647786140441895,0.38025528133650227,0.3304014093800928,0.4153966305132532,0.0729009039012692,0.15001069457765961,0.18765176776832662
0.1,72,OnlineFPCA-sgd,0.2,2300,5,0.658889293670654,0.3777091489979774,0.2977714653866169,0.25739223100026787,0.07537951526055423,0.15124767553396432,0.18702310583141069
0.1,72,OnlineFPCA-sgd,0.2,2400,5,0.657395362854004,0.40105797389936876,0.36926784668464563,0.2647218593214078,0.07390975453322231,0.15048734441897704,0.179296281356504
0.1,72,OnlineFPCA-sgd,0.2,2500,5,0.655383348464966,0.3982336891640854,0.34895865810588433,0.27629259996951466,0.07253814876186662,0.14702425272739708,0.17249683069580213
0.1,72,OnlineFPCA-sgd,0.2,2600,5,0.641737461090088,0.32843415665062403,0.31185949854838296,0.2708399585113892,0.07106735194304514,0.14762863060632464,0.1673162056588596
0.1,72,OnlineFPCA-sgd,0.2,2700,5,0.692708492279053,0.3600880952709855,0.27213617381280675,0.3332728407167629,0.06805969963313432,0.14621167816848415,0.16745275859370684
0.1,72,OnlineFPCA-sgd,0.2,2800,5,0.663438081741333,0.23882052263824682,0.26041260836739577,0.237523706313353,0.06736895057097783,0.1435800519225635,0.16522967790960058
0.1,72,OnlineFPCA-sgd,0.2,2900,5,0.633940458297729,0.48910686733856323,0.4214949750647658,0.39893742806871396,0.06629623260928248,0.14564780012867243,0.16528690882898153
0.1,72,OnlineFPCA-sgd,0.2,3000,5,0.648575067520142,0.4856603210512472,0.3343013135516916,0.44284342105015284,0.06867737553849032,0.14707163094650563,0.16746163461656413
0.1,72,OnlineFPCA-sgd,0.2,3100,5,0.826748609542847,0.3550149208151549,0.3100187657104871,0.4038984308631968,0.0658222811872124,0.14871812902529982,0.16782572855167793
0.1,72,OnlineFPCA-sgd,0.2,3200,5,0.68281364440918,0.36533875405058885,0.2504111234617758,0.3268922293144491,0.06387700900283531,0.14699739473309562,0.16408811814043023
0.1,72,OnlineFPCA-sgd,0.2,3300,5,0.648399353027344,0.5069784624316931,0.49154366195359117,0.2912770412753165,0.0640398396756101,0.1465366418928809,0.16249657783527133
0.1,72,OnlineFPCA-sgd,0.2,3400,5,0.669320106506348,0.4195209993370957,0.3967129906684677,0.4023060290386493,0.07149518902925231,0.14954340622461768,0.16098536178423736
0.1,72,OnlineFPCA-sgd,0.2,3500,5,0.661816358566284,0.4589810008977946,0.5758844862701751,0.3346340125101746,0.07420657145263705,0.14745172176463883,0.1601806819689347
0.1,72,OnlineFPCA-sgd,0.2,3600,5,0.690068006515503,0.2779977597670814,0.3791205298890725,0.38325044366884625,0.07676363194971322,0.14343744841657805,0.15704003558864388
0.1,72,OnlineFPCA-sgd,0.2,3700,5,0.648077726364136,0.2949664327474986,0.24974010549809988,0.3629060978027516,0.07730319592600161,0.1426973136476264,0.15665282695969948
