seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,C,W,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
31,OnlineFPCA-sgd,0.1,0,100,face,3,5,6.4520058631897,3,1,1.4001509869811914,1.4135412658569668,0.797491403160713,1.4001509869811914,1.4135412658569668,0.797491403160713
31,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.43830943107605,3,1,1.1187363435650535,1.6510581846971237,1.4582504491732184,NA,NA,NA
31,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.255413293838501,3,1,1.4216838987366107,1.6605624928028626,1.393473452675973,NA,NA,NA
31,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.256839275360107,3,1,1.5314500885514832,1.389251415580906,1.576427065358475,NA,NA,NA
31,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.270913600921631,3,1,1.3546494346356326,1.4679732593380854,1.3828724909280639,NA,NA,NA
31,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.286852836608887,3,1,1.2711204814994108,1.5370361941417838,1.1014758227266972,NA,NA,NA
31,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.278197288513184,3,1,1.4699274557251403,1.5926700133194942,1.0655837536219142,NA,NA,NA
31,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.270837545394897,3,1,1.4672358485133334,1.5935093311776254,1.0644551237701365,NA,NA,NA
31,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.249377250671387,3,1,1.4492438213823746,1.597944762539751,1.0431255006394997,NA,NA,NA
31,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.237920045852661,3,1,1.4744770440341586,1.5722329145077052,0.993983609089005,NA,NA,NA
31,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.251684665679932,3,1,1.4774537697564727,1.5710015615992794,0.9784379879361431,NA,NA,NA
31,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.381875276565552,3,1,1.5054943389411823,1.5824693483833914,1.2104370454278177,1.5021092282585897,1.556730787638241,0.8398230739996885
31,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.329254150390625,3,1,1.496707544090351,1.5774605844117426,1.0072105272159173,1.4994301308340368,1.5507356845519191,0.8883414238998791
31,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.348733186721802,3,1,1.491047468955265,1.5791233328718137,1.2558546022760744,1.4968006894684955,1.553840166821141,0.91034685579463
31,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.332513093948364,3,1,1.4825122718517565,1.5336352789908148,1.1086287838113937,1.4933577992569185,1.5495618529168205,0.9437224045150463
31,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.364771604537964,3,1,1.4824056099152012,1.542350192507384,1.0625042278047803,1.4909592743712554,1.5481238828767594,0.9670422145814329
31,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.331524133682251,3,1,1.8743084435615225,0.872737074284486,1.8977120258808813,1.3047636148326114,1.3428669137878548,1.0963145762385424
31,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.359380722045898,3,1,1.8740089431998268,0.5919524806805333,1.94409113445855,1.1590714056361262,1.1836558944942113,0.3774628641090327
31,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.325042009353638,3,1,1.8738634682136475,0.592214773901617,1.944099627163883,1.0583915231861616,1.0846306526675094,0.3802788631277867
31,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.329014539718628,3,1,1.8736895751904554,0.5926065978843975,1.9441121336058318,0.9889630994646894,1.0147322206564648,0.39060679454953956
31,OnlineFPCA-sgd,0.1,2000,100,face,3,5,0.336289644241333,3,1,1.8735659164854876,0.5926246747431401,1.9441738029746316,0.9382361016400282,0.9622287439756714,0.4033581437652266
31,OnlineFPCA-sgd,0.1,2100,100,face,3,5,0.339166879653931,3,1,1.8734606205136135,0.5925433869382145,1.9442314768695466,0.8997636807258853,0.9211765746051612,0.4164367719459562
31,OnlineFPCA-sgd,0.1,2200,100,face,3,5,0.312544345855713,3,1,1.8732130321198233,0.5928989178708983,1.9443168362797407,0.869844509929468,0.8881974442947422,0.4289783771339069
31,OnlineFPCA-sgd,0.1,2300,100,face,3,5,0.308230400085449,3,1,1.8729335526749997,0.5932958110121351,1.9443051428716929,0.8461124312695425,0.8611480779733978,0.440654688553465
31,OnlineFPCA-sgd,0.1,2400,100,face,3,5,0.346093416213989,3,1,1.872778484767207,0.5937311567381723,1.9443362778991702,0.8269453040470436,0.8385462422151875,0.4513970172987069
31,OnlineFPCA-sgd,0.1,2500,100,face,3,5,0.315142631530762,3,1,1.8725690593433297,0.5941602697649645,1.9443267144667444,0.8112446637892684,0.8193859095093878,0.46122538141527697
31,OnlineFPCA-sgd,0.1,2600,100,face,3,5,0.319316387176514,3,1,1.8722428529835122,0.5946121939200837,1.9442627082176802,0.7982531428508033,0.8029773031470012,0.4701821333727606
31,OnlineFPCA-sgd,0.1,2700,100,face,3,5,0.321541547775269,3,1,1.8721053331782291,0.5950373030509766,1.9443499289580564,0.7873930104075768,0.7887762674787638,0.47835685290414637
31,OnlineFPCA-sgd,0.1,2800,100,face,3,5,0.334183692932129,3,1,1.8719123346531,0.5952961743667202,1.9444330719625431,0.778233065048539,0.7763742586673094,0.48585192964055984
31,OnlineFPCA-sgd,0.1,2900,100,face,3,5,0.309218645095825,3,1,1.8717564153864068,0.5948514674696324,1.9445287168085263,0.7704263232615997,0.7654225827421726,0.49272605588808494
31,OnlineFPCA-sgd,0.1,3000,100,face,3,5,0.300494909286499,3,1,1.871481100411122,0.5956403807038292,1.9445411556382606,0.7637372481382937,0.7557109318891523,0.4990448983762414
31,OnlineFPCA-sgd,0.1,3100,100,face,3,5,0.329437017440796,3,1,1.8711801025116503,0.596491202007139,1.9446407934385652,0.7580016131754068,0.7470831237504558,0.5048365921575604
31,OnlineFPCA-sgd,0.1,3200,100,face,3,5,0.319456815719604,3,1,1.8709680317698414,0.5969470916290776,1.9446512512540506,0.7530334955400697,0.7393492751021193,0.5101493518444088
31,OnlineFPCA-sgd,0.1,3300,100,face,3,5,0.316592693328857,3,1,1.8707924971078143,0.5972575620302537,1.9447049618930237,0.7486994268711753,0.7323719017639844,0.5150623208395245
31,OnlineFPCA-sgd,0.1,3400,100,face,3,5,0.329560518264771,3,1,1.8705380004721255,0.598090746754,1.94482624780501,0.7449089426709484,0.7260656658249123,0.5196400052872031
31,OnlineFPCA-sgd,0.1,3500,100,face,3,5,0.312100887298584,3,1,1.8703032398362887,0.5983432549894859,1.944855453828349,0.7415860780942194,0.7203383256515937,0.5238992072425981
31,OnlineFPCA-sgd,0.1,3600,100,face,3,5,0.320613861083984,3,1,1.8700142259440424,0.5991217789464668,1.9448098189314384,0.7386635013881349,0.7151185787329438,0.5278649719687302
31,OnlineFPCA-sgd,0.1,3700,100,face,3,5,0.321882486343384,3,1,1.8698043972479395,0.5994644551627412,1.944760791659249,0.7360845452229562,0.7103493380382022,0.5315706198601066
31,OnlineFPCA-sgd,0.1,3800,100,face,3,5,0.324061393737793,3,1,1.8694748428681514,0.6003409630224539,1.9449563920194182,0.7337996568214515,0.705971474884162,0.5350355021067951
31,OnlineFPCA-sgd,0.1,3900,100,face,3,5,0.315654039382935,3,1,1.8691971310880273,0.600859457503571,1.9449246867659236,0.7317792653138352,0.7019517070275696,0.5382744608959893
31,OnlineFPCA-sgd,0.1,4000,100,face,3,5,0.342176914215088,3,1,0.7299787164308081,0.6982383600866545,0.5413007906502666,0.7299787164308081,0.6982383600866545,0.5413007906502666
31,OnlineFPCA-sgd,0.1,4100,100,face,3,5,0.31986927986145,3,1,0.7304748156042806,0.6986106935595765,0.5414841563735104,0.730271538060396,0.6984451486841877,0.5414647907139475
31,OnlineFPCA-sgd,0.1,4200,100,face,3,5,0.339999198913574,3,1,0.7315060041692534,0.6992607315260049,0.5416543378081408,0.7306280789959653,0.6986803609155986,0.5414836713281003
31,OnlineFPCA-sgd,0.1,4300,100,face,3,5,0.322646141052246,3,1,0.7322009984766201,0.6996908973264492,0.5409930348535874,0.7310216330711532,0.6989401245773853,0.5414303301410698
