seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,C,W,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
14,OnlineFPCA-sgd,0.1,0,100,face,3,5,6.38382577896118,3,1,0.011488913551722588,0.12793891021275938,0.62316145541387,0.011488913551722588,0.12793891021275938,0.62316145541387
14,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.367043733596802,3,1,0.8440137868058303,0.8309704392655014,0.6676087161586106,NA,NA,NA
14,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.221167325973511,3,1,0.4358910121014169,0.5971193435092024,1.2071432124269652,NA,NA,NA
14,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.217689752578735,3,1,0.4416653845250746,0.8287755880296438,1.3069211481399554,NA,NA,NA
14,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.221105575561523,3,1,0.4398311440780813,0.9233860685696276,0.9766887086427033,NA,NA,NA
14,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.214739084243774,3,1,0.4072163075436762,0.8009809869168855,1.0325924330246523,NA,NA,NA
14,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.215314388275146,3,1,0.40059285318539556,0.8007745436401597,1.0320610993082764,NA,NA,NA
14,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.220679044723511,3,1,0.3622064679054911,0.7990423022703679,1.0308631794204144,NA,NA,NA
14,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.23149299621582,3,1,0.22620990097650479,0.8100562282361464,1.02289245523996,NA,NA,NA
14,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.369799137115479,3,1,0.1109900008951581,0.8295095727962479,0.9104030713862814,NA,NA,NA
14,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.206709623336792,3,1,0.11032111028310826,0.8298948301835781,0.89041232905588,NA,NA,NA
14,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.293982744216919,3,1,0.11017288476094515,0.8354401413029845,0.875045245058152,0.1101871293350872,0.832752109221581,0.8815620459323993
14,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.284816980361938,3,1,0.10991279844858345,0.8400286247662111,0.8650773178968447,0.11003817516473018,0.8350190677411253,0.8749060494627586
14,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.281268358230591,3,1,0.10981476457542652,0.8403726100984049,0.8643352977150182,0.10995176555069909,0.8365171096070642,0.8711524491814966
14,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.282248020172119,3,1,0.10983917843549425,0.844613042251897,0.8575803818851997,0.1098919760978139,0.837760946373505,0.8681590863220091
14,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.280165433883667,3,1,0.10956489024532533,0.8441828506696819,0.858233987022206,0.10982355564729455,0.8388042946017883,0.8658593178252537
14,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.277880668640137,3,1,0.10934713793665164,0.846667757024084,0.8550257122675292,0.10975497121205685,0.83974391331585,0.8638892646038595
14,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.28654146194458,3,1,0.10904849574036936,0.8485289899690134,0.8528857171523693,0.10964476736849324,0.8406513045998343,0.8619871628019157
14,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.285744667053223,3,1,0.10858080277610221,0.8500428225820177,0.8514043584438203,0.10950884449248044,0.8415062134637697,0.8602560225175175
14,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.28144907951355,3,1,0.10848716353172047,0.8512933826186823,0.8503683451208355,0.10936908613764565,0.8423040333547884,0.8587247832103416
14,OnlineFPCA-sgd,0.1,2000,100,face,3,5,0.285796642303467,3,1,0.10816038109722355,0.8523328256336691,0.8496892376068719,0.10922659800217425,0.843046844111914,0.8573968370554723
14,OnlineFPCA-sgd,0.1,2100,100,face,3,5,0.272735834121704,3,1,1.0601389758368207,1.144579222918829,0.40601717234588985,0.032178666066802,0.8016257773024165,0.8175662035842248
14,OnlineFPCA-sgd,0.1,2200,100,face,3,5,0.280197143554688,3,1,0.7051202897342084,0.7392630310332875,0.528182945269571,0.07248749080632905,0.767524010214058,0.7831586988905263
14,OnlineFPCA-sgd,0.1,2300,100,face,3,5,0.272598266601562,3,1,0.3560544105430047,0.5569375207879934,0.5003068277386863,0.1007906993655594,0.7457987981537043,0.7610622175773761
14,OnlineFPCA-sgd,0.1,2400,100,face,3,5,0.290814161300659,3,1,0.1755807921438863,0.4731869553719512,0.4603654430766502,0.11237975330459703,0.7263876495435396,0.7390493762615952
