seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,C,W,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
68,OnlineFPCA-sgd,0.1,0,100,face,3,5,2.14816641807556,3,1,0.14248539072595218,0.18803836310529481,2.0276478387126464,0.14248539072595218,0.18803836310529481,2.0276478387126464
68,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.404078960418701,3,1,0.4470039719270205,0.4668658309046864,1.9950496884404512,NA,NA,NA
68,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.234219789505005,3,1,0.9260169837503008,0.5074338836525584,1.9849596517356665,NA,NA,NA
68,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.233795166015625,3,1,0.8694414958805938,1.1085441430885634,1.7751588558108462,NA,NA,NA
68,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.233256816864014,3,1,0.5628835163937884,0.685988833851541,1.5462956774655878,NA,NA,NA
68,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.235347270965576,3,1,0.5506508253518713,0.7865963479359503,1.4640522493725918,NA,NA,NA
68,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.223810195922852,3,1,0.5434486270197014,0.7840626585445712,1.4646067034924184,NA,NA,NA
68,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.234046459197998,3,1,0.5391175895923178,0.7802493467036012,1.464628857955198,NA,NA,NA
68,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.23642635345459,3,1,0.527886713565726,0.7736941036656162,1.4641616608087795,NA,NA,NA
68,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.381328344345093,3,1,0.5247785299232579,0.7312262834957356,1.455063520087963,NA,NA,NA
68,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.219430208206177,3,1,0.5247207113104034,0.5775391281620088,1.3858483548442364,NA,NA,NA
68,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.318808555603027,3,1,1.347781788159488,1.4622464767073746,1.3548570899948542,0.6654149115477827,0.6574646221293906,1.3703503963605228
68,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.296454668045044,3,1,0.9337891160301894,0.9765616503678831,1.3694951516365899,0.7923389231033939,0.8056275462388176,1.3762884459786278
68,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.316845178604126,3,1,0.9336275977141345,1.0104679715591447,1.1917104633258035,0.8392216422722021,0.8668067506062578,1.3508409100191723
68,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.297852039337158,3,1,0.8665563054100858,0.90273982675415,0.22431206390215136,0.5825190032274337,0.5669540954263502,1.0268685424050683
68,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.297651052474976,3,1,0.8765749919011679,0.9164148729911397,1.0583755898880267,0.4463259464170923,0.42496887478347173,0.7843860547910448
68,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.29419732093811,3,1,0.08746907760345662,0.16396920336103266,0.2186322958307273,0.3643185587601052,0.34750468148151575,0.6479953057134356
68,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.300388813018799,3,1,0.06932079083532876,0.1384802979036937,0.21872301715888454,0.3093385988921958,0.2968541550174378,0.5583525184153524
68,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.299267292022705,3,1,0.06847312446176997,0.13834600969940197,0.21827660142418798,0.2681653443886857,0.2613037998674329,0.494870154935365
68,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.298981904983521,3,1,0.06740248804958109,0.13807736755406771,0.21828717687693353,0.23669215905749988,0.2353160098926306,0.44786858894393133
68,OnlineFPCA-sgd,0.1,2000,100,face,3,5,0.296271562576294,3,1,0.06611784971790718,0.13723833384679207,0.2179995470406326,0.2118873090768895,0.21574769179231457,0.41188262263322356
68,OnlineFPCA-sgd,0.1,2100,100,face,3,5,0.287958383560181,3,1,0.0665764573254735,0.1371529140256335,0.21753007127504786,0.1918908733809443,0.2006476498555069,0.3836083531723831
68,OnlineFPCA-sgd,0.1,2200,100,face,3,5,0.288368463516235,3,1,0.06574891038099717,0.13692454880269386,0.2172818279237173,0.1754594127908237,0.1887967540365168,0.36097685072354907
68,OnlineFPCA-sgd,0.1,2300,100,face,3,5,0.29278039932251,3,1,0.06525109277538584,0.1361311413971707,0.21651363339788277,0.1617635530292926,0.17935322304337584,0.3425766184244835
68,OnlineFPCA-sgd,0.1,2400,100,face,3,5,0.303321838378906,3,1,0.06540142820308865,0.13577318241113695,0.21648577035807964,0.15020344339796401,0.17172712657486075,0.32739984208391903
68,OnlineFPCA-sgd,0.1,2500,100,face,3,5,0.291987180709839,3,1,0.06472385294675212,0.135752415719184,0.21618462505415176,0.14034775683705533,0.16550693108603848,0.31472980106409854
68,OnlineFPCA-sgd,0.1,2600,100,face,3,5,0.310529232025146,3,1,0.06444048636834963,0.13593462291640787,0.21583479468737934,0.13185623144541606,0.16038740970916282,0.30403939477297404
68,OnlineFPCA-sgd,0.1,2700,100,face,3,5,0.29140567779541,3,1,0.06409086215787702,0.13601937019060753,0.21588129046573093,0.12447998969499824,0.15615485300580043,0.2949263834498481
68,OnlineFPCA-sgd,0.1,2800,100,face,3,5,0.288169622421265,3,1,0.06313921675202075,0.13552212636351657,0.21550423069778865,0.11802439274701239,0.1526208431094467,0.287115140163998
68,OnlineFPCA-sgd,0.1,2900,100,face,3,5,0.289346218109131,3,1,0.062300185218160026,0.13499163725225283,0.2151395282668455,0.11234262029164312,0.14962414296206072,0.280361952720566
68,OnlineFPCA-sgd,0.1,3000,100,face,3,5,0.292220592498779,3,1,0.06158011412660554,0.13423754798298498,0.21481295689271832,0.10732176685647693,0.14707782190799504,0.2744872753279034
68,OnlineFPCA-sgd,0.1,3100,100,face,3,5,0.290085315704346,3,1,0.06045019694060946,0.13408039529013097,0.21446303472612646,0.10285019225309026,0.14489970524223833,0.2693352178944388
68,OnlineFPCA-sgd,0.1,3200,100,face,3,5,0.293131589889526,3,1,0.06006901472265703,0.13479986570021854,0.214780466794283,0.09884360421916057,0.1430454720463663,0.26479891999123256
68,OnlineFPCA-sgd,0.1,3300,100,face,3,5,0.290352821350098,3,1,0.05958711500874189,0.13403687313918797,0.21472631693584937,0.09524965891727113,0.14145542856893878,0.2607905273290837
68,OnlineFPCA-sgd,0.1,3400,100,face,3,5,0.289331912994385,3,1,0.0587111939088206,0.13328778355865253,0.2144452947373594,0.09201403851612613,0.14006250230800849,0.2572318477605694
68,OnlineFPCA-sgd,0.1,3500,100,face,3,5,0.29300856590271,3,1,0.058344121455543796,0.13240807146088043,0.21404231503755525,0.08908419021130616,0.1388310536458838,0.2540400730926686
68,OnlineFPCA-sgd,0.1,3600,100,face,3,5,0.292860984802246,3,1,0.058085275287063864,0.1321656786577224,0.2135006179507208,0.0864427392297663,0.13774724891983128,0.2511673784428632
68,OnlineFPCA-sgd,0.1,3700,100,face,3,5,0.292783260345459,3,1,0.05792406826151292,0.13129178167739927,0.21342728783848128,0.0840447234293631,0.13677769598275036,0.24857146260085877
68,OnlineFPCA-sgd,0.1,3800,100,face,3,5,0.295648097991943,3,1,0.05757695847959363,0.1304797573739555,0.21286845078083436,0.08185672366055168,0.13589986741118273,0.24621811202433988
68,OnlineFPCA-sgd,0.1,3900,100,face,3,5,0.29322624206543,3,1,0.05703690579855412,0.13029960703662943,0.21260710826108686,0.07985172238946898,0.13511712229069248,0.24407686870082307
68,OnlineFPCA-sgd,0.1,4000,100,face,3,5,0.290698051452637,3,1,0.07801728029592327,0.13441873529212442,0.2421303894731033,0.07801728029592327,0.13441873529212442,0.2421303894731033
68,OnlineFPCA-sgd,0.1,4100,100,face,3,5,0.294541835784912,3,1,0.0781481747518424,0.13397457596634668,0.24242035573920365,0.07808711696353665,0.134131031276574,0.24230134646796872
68,OnlineFPCA-sgd,0.1,4200,100,face,3,5,0.289297342300415,3,1,0.07808290268881576,0.1344702675462143,0.2427255132764522,0.07813066254753745,0.13413912039788636,0.24241041721017095
68,OnlineFPCA-sgd,0.1,4300,100,face,3,5,0.289673328399658,3,1,0.07800721038558146,0.1331051606110107,0.24280143598891338,0.07813248974453597,0.13402813752165452,0.2425375660464665
68,OnlineFPCA-sgd,0.1,4400,100,face,3,5,0.291061162948608,3,1,0.07766199726457644,0.1332837320342953,0.24326949811137505,0.07802940289648676,0.1338320214673649,0.2426718489844211
68,OnlineFPCA-sgd,0.1,4500,100,face,3,5,0.288862228393555,3,1,0.07689000451622649,0.13353433845134796,0.2427821465461962,0.07783936968881164,0.13372295569080553,0.2427629847900384
68,OnlineFPCA-sgd,0.1,4600,100,face,3,5,0.292674541473389,3,1,0.07688313462976375,0.1330047258048821,0.24260297595641483,0.07766073556487849,0.13363614046076838,0.24276571899548255
68,OnlineFPCA-sgd,0.1,4700,100,face,3,5,0.288804769515991,3,1,0.07691220124945321,0.13293228860099873,0.24254567788246995,0.07754162475572039,0.1335566526498342,0.24273416081931684
68,OnlineFPCA-sgd,0.1,4800,100,face,3,5,0.315442562103271,3,1,0.07728995482279193,0.1327174260578463,0.24192605321630087,0.07749153972972217,0.13347680145904933,0.24268648371346435
