seed,Method,epoch,nBlock,wBeta,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
38,OnlineFPCA-adagrad,1,10,0.1,4.804073691141308e-17,0.04755302734077309,0.45929999266105315,0.4396859923233944,0.08957352426825815,0.42112441700402203,0.4663367689097421
38,OnlineFPCA-adagrad,2,10,0.1,4.804073691141308e-17,0.030895452486449464,0.23253915578141496,0.1554152540037283,0.02373393255957333,0.19868223745227784,0.20964003129955053
38,OnlineFPCA-adagrad,3,10,0.1,4.804073691141308e-17,0.0312234814489154,0.20799617564952833,0.13563644443057285,0.024373233310091388,0.10674167822068854,0.11434035175204364
38,OnlineFPCA-adagrad,1,10,0.3,3.906248650313499e-17,0.04700169411964421,0.34321273087368087,0.3107714061381082,0.08756911839915202,0.28860306751692677,0.3433427511612036
38,OnlineFPCA-adagrad,2,10,0.3,3.906248650313499e-17,0.030796079371840177,0.22593516949133155,0.14564482598712244,0.024001788793720964,0.10108096043732136,0.11069445917580921
38,OnlineFPCA-adagrad,3,10,0.3,3.906248650313499e-17,0.03125042995609719,0.2090414844616445,0.13881088062614746,0.024446169956199536,0.06504151234452235,0.06715448343615713
38,OnlineFPCA-adagrad,1,10,0.5,9.067459232869054e-17,0.04580716333102261,0.329718278866024,0.29521672883098304,0.0871270914876499,0.2714657787876827,0.3282214034573503
38,OnlineFPCA-adagrad,2,10,0.5,9.067459232869054e-17,0.03078539467558468,0.22580644186463952,0.14555722966808995,0.02407352493832204,0.09224971695204903,0.10139464415693596
38,OnlineFPCA-adagrad,3,10,0.5,9.067459232869054e-17,0.03125294764867447,0.20916943368500798,0.13913711914897725,0.024480981885861806,0.0633336989384246,0.06427763596103199
38,OnlineFPCA-adagrad,1,10,0.7,8.538731693162206e-17,0.047378018382619215,0.43664495275389487,0.4151548755831586,0.08921730965995123,0.3960604335304804,0.4430046797854209
