seed,Method,epoch,nBlock,wBeta,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
26,OnlineFPCA-adagrad,1,10,0.1,2.746606962490263e-16,0.09659459795546176,0.18614535874603386,0.15152797139861543,0.14638349026351274,0.11931855655018601,0.1636696921074798
26,OnlineFPCA-adagrad,2,10,0.1,2.746606962490263e-16,0.09113094460634234,0.16126129666395572,0.13221952163102957,0.03180750964494995,0.07201002116651652,0.10388759492137087
26,OnlineFPCA-adagrad,3,10,0.1,2.746606962490263e-16,0.08242074831986732,0.14851198628436843,0.12395932343777835,0.030770377973171153,0.07035460603612476,0.1062614980612735
26,OnlineFPCA-adagrad,1,10,0.3,4.116885974206221e-16,0.0965970069588478,0.18603537267245548,0.1525490544244486,0.14635633073695273,0.11952301869147794,0.16436269475538431
26,OnlineFPCA-adagrad,2,10,0.3,4.116885974206221e-16,0.09112863460783434,0.16123861956772928,0.13223670683712171,0.03181001643035586,0.07186137844337519,0.10386472139034836
26,OnlineFPCA-adagrad,3,10,0.3,4.116885974206221e-16,0.08242032011147936,0.1485087067530263,0.12396058302862592,0.03077188107815065,0.07025276502932544,0.10622718810359472
26,OnlineFPCA-adagrad,1,10,0.5,7.457508518498102e-16,0.0966026383390478,0.18605299282384266,0.1524335527276281,0.14635983196091684,0.11958710932991058,0.1641109625549972
26,OnlineFPCA-adagrad,2,10,0.5,7.457508518498102e-16,0.09112834156038352,0.16123624938805892,0.13223893845356813,0.031811216862829124,0.0718455026122927,0.10388153917159419
26,OnlineFPCA-adagrad,3,10,0.5,7.457508518498102e-16,0.08242026270177791,0.1485084199949694,0.12396050698325581,0.03077250099862929,0.07024064954543169,0.10623489569407854
26,OnlineFPCA-adagrad,1,10,0.7,8.189449298800008e-16,0.0966191528223282,0.18620416653282312,0.15199851380655172,0.1463964563509608,0.11971570609367918,0.16380591606345513
26,OnlineFPCA-adagrad,2,10,0.7,8.189449298800008e-16,0.09112845179935024,0.16123739452859176,0.1322396083528428,0.031812523550124865,0.07185484849066358,0.1039340480815223
26,OnlineFPCA-adagrad,3,10,0.7,8.189449298800008e-16,0.0824202886720154,0.14850862710579835,0.1239603034117823,0.03077309751931944,0.07024413635778126,0.10626473432012207
26,OnlineFPCA-adagrad,1,10,0.9,1.3877664470513376e-15,0.09662811204838007,0.18621281155153385,0.15253332675984657,0.14638878881704906,0.1199247692993384,0.16418598817722055
