seed,Method,epoch,nBatch,nBlock,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
9,OnlineFPCA-adagrad,1,1,100,1.4169376773659931e-6,0.18110429146990067,0.19135750716764602,0.41927223956658116,0.06615453824177879,0.21369448431154026,0.23217360457581926
9,OnlineFPCA-adagrad,2,1,100,1.4169376773659931e-6,0.18783538116242215,0.1868073020689418,0.3754483572509442,0.03284767643108124,0.06873078003063736,0.22406324507555292
9,OnlineFPCA-adagrad,3,1,100,1.4169376773659931e-6,0.18824379865153307,0.1827334609660347,0.35710785743776213,0.029717645144473226,0.07771107109851451,0.22791647844517532
9,OnlineFPCA-adagrad,1,2,100,8.733175075213895e-7,0.19613148649960915,0.21519812942442149,0.35632402699377475,0.05223245870347803,0.11164340905520732,0.12592708705570188
9,OnlineFPCA-adagrad,2,2,100,8.733175075213895e-7,0.19285718883359024,0.19608922821376554,0.33674135693762636,0.02772735801455032,0.09908477249008839,0.22109401622273311
9,OnlineFPCA-adagrad,3,2,100,8.733175075213895e-7,0.18535953474172556,0.18916999987420152,0.3126064236762707,0.02592627749216208,0.10315492944719606,0.22533072163059825
9,OnlineFPCA-adagrad,1,5,100,9.160723624258957e-7,0.19522253578964527,0.19226279754071815,0.3138320380759319,0.043830619233595464,0.1440747321058303,0.15499665931941428
9,OnlineFPCA-adagrad,2,5,100,9.160723624258957e-7,0.17657764328919776,0.18884928532903023,0.2694531365756488,0.025311030710700406,0.05987286039703764,0.19051883007163303
9,OnlineFPCA-adagrad,3,5,100,9.160723624258957e-7,0.1633179215818134,0.18183951552588845,0.24291146942164069,0.024708874774994335,0.07226129705734194,0.19886606409171337
9,OnlineFPCA-adagrad,1,10,100,1.20476745018647e-5,0.16795556232629463,0.17723985327068628,0.29483651825492635,0.09312144792066658,0.16833974729992995,0.20217082648932508
9,OnlineFPCA-adagrad,2,10,100,1.20476745018647e-5,0.14965162410695382,0.15604381712957993,0.25154925139923545,0.025235791403260335,0.10068709919781806,0.2116567076860044
9,OnlineFPCA-adagrad,3,10,100,1.20476745018647e-5,0.13731420126418953,0.1507971314145869,0.2339852408457717,0.022489070851956297,0.09153541744621126,0.21043693595633226
9,OnlineFPCA-adagrad,1,20,100,1.5206233773373424e-6,0.15528648274867865,0.1565668795728366,0.22171504320511187,0.04139095442813678,0.09496903730115619,0.1648702232016009
9,OnlineFPCA-adagrad,2,20,100,1.5206233773373424e-6,0.1328654213216018,0.1546218159195611,0.19438997267825076,0.024923892206971818,0.06284774813003832,0.1891534124000563
9,OnlineFPCA-adagrad,3,20,100,1.5206233773373424e-6,0.12067256490348419,0.1466733244837716,0.1863902897512658,0.02470707522887,0.07054289511306736,0.19354018142433985
