seed,Method,epoch,nBatch,nBlock,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
74,OnlineFPCA-adagrad,1,1,100,5.173823970500065e-7,0.11576140827841336,0.3298008169353619,0.3268410033996468,0.049486387534512156,0.20730697819979776,0.40336670464117946
74,OnlineFPCA-adagrad,2,1,100,5.173823970500065e-7,0.10226242874358235,0.2591739074525702,0.3112943536379546,0.02225490224163771,0.1385920396151515,0.2643419304031601
74,OnlineFPCA-adagrad,3,1,100,5.173823970500065e-7,0.09059858004427937,0.22441128681956604,0.309751370961097,0.022019579428833876,0.12799152610238737,0.24822555165377075
74,OnlineFPCA-adagrad,1,2,100,1.9701122739678045e-7,0.10532844113315107,0.3723512886329926,0.45258027019205005,0.05069804700121143,0.2853897656361994,0.41945727516155235
74,OnlineFPCA-adagrad,2,2,100,1.9701122739678045e-7,0.08236039463562035,0.24095572108268054,0.36752438644590457,0.022200317499331327,0.15987933183682357,0.26359224376491164
74,OnlineFPCA-adagrad,3,2,100,1.9701122739678045e-7,0.06787524670960689,0.20379086336204955,0.3471408405876707,0.021749204564940283,0.1422380192512722,0.24556200854920465
74,OnlineFPCA-adagrad,1,5,100,3.0909405374561045e-7,0.08495177862238612,0.1830458770250873,0.2741069805746796,0.04931371925422513,0.05500976629624392,0.29725051005090375
74,OnlineFPCA-adagrad,2,5,100,3.0909405374561045e-7,0.05670797015982256,0.1422896789281402,0.29664046235771313,0.021937127391092087,0.08103946099629168,0.21080364254325482
74,OnlineFPCA-adagrad,3,5,100,3.0909405374561045e-7,0.04538419577093459,0.12602078346230716,0.28664197915035394,0.02131151130001119,0.08589229560558376,0.2066716565218177
74,OnlineFPCA-adagrad,1,10,100,5.943654593247902e-7,0.06352503712389851,0.1294565719402915,0.2684557679670679,0.03947663683666887,0.04299300066832226,0.2638050271327933
74,OnlineFPCA-adagrad,2,10,100,5.943654593247902e-7,0.040964366178371146,0.11855316552642488,0.27270553882091225,0.02119185849300997,0.07166741384116218,0.20052142798632358
74,OnlineFPCA-adagrad,3,10,100,5.943654593247902e-7,0.03234050026088945,0.10717745174532668,0.25854061840638976,0.02047854340894665,0.0771640781192148,0.198230327712038
74,OnlineFPCA-adagrad,1,20,100,1.5187536405685283e-8,0.04417383072519021,0.10000738585735261,0.26036323265604633,0.038657843110724815,0.06903424338007365,0.2581311446248708
74,OnlineFPCA-adagrad,2,20,100,1.5187536405685283e-8,0.028687715398586073,0.09207478771714023,0.24804686401339968,0.021539778510239836,0.04741958615078771,0.1778856343978524
74,OnlineFPCA-adagrad,3,20,100,1.5187536405685283e-8,0.022461683107520884,0.08978885382848988,0.235067824580386,0.02074739530790154,0.05647062050523592,0.1788892809096777
