seed,Method,epoch,nBatch,nBlock,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
98,OnlineFPCA-adagrad,1,1,100,2.843161719585532e-7,0.2821312096265064,0.5156139810336021,0.7099501259625542,0.06167728335922847,0.2393530501391501,0.32197356341402417
98,OnlineFPCA-adagrad,2,1,100,2.843161719585532e-7,0.20494037175325394,0.31800711904514156,0.4717387242571061,0.051328414740557035,0.08820667805310228,0.18980310966060873
98,OnlineFPCA-adagrad,3,1,100,2.843161719585532e-7,0.15847146547011282,0.24124576657016086,0.37917182829513324,0.047784036676225244,0.08060514900136873,0.17003443917169386
98,OnlineFPCA-adagrad,1,2,100,3.7160006020890226e-8,0.196803493178729,0.27994163105678893,0.4987726766778176,0.05776287759891261,0.14439125138990572,0.3076496304306421
98,OnlineFPCA-adagrad,2,2,100,3.7160006020890226e-8,0.12221628325639708,0.20975007055769634,0.3571740952639291,0.042464504107218484,0.08568886886265376,0.15993888166193934
98,OnlineFPCA-adagrad,3,2,100,3.7160006020890226e-8,0.09691500023216464,0.1721086212641794,0.3116751550584989,0.040754365872518926,0.08175334697601169,0.14654189345113253
98,OnlineFPCA-adagrad,1,5,100,3.3239970277064547e-7,0.12146965345419164,0.19146255957101693,0.3015118336833248,0.043438500176808656,0.08539029980426711,0.2375705504793758
98,OnlineFPCA-adagrad,2,5,100,3.3239970277064547e-7,0.08424374069456798,0.13063577716468228,0.26090242423265164,0.03704201550096575,0.06603346162077742,0.13742927074434147
98,OnlineFPCA-adagrad,3,5,100,3.3239970277064547e-7,0.07340112391327695,0.11228396568169037,0.24538862884226714,0.03596244859187519,0.06350242247260535,0.13198683521666096
98,OnlineFPCA-adagrad,1,10,100,1.508508071086893e-8,0.07695827051234011,0.12114987919038264,0.2612052350463912,0.047427359982635704,0.08445154100574531,0.21531625805457114
98,OnlineFPCA-adagrad,2,10,100,1.508508071086893e-8,0.06764174127700279,0.10414142318969537,0.23723370182124517,0.03695474166085514,0.06633999068730126,0.13502728856849897
98,OnlineFPCA-adagrad,3,10,100,1.508508071086893e-8,0.06441732542496931,0.09473828225790253,0.22460607149781978,0.03553214952550385,0.06421117141412722,0.13201171575134601
98,OnlineFPCA-adagrad,1,20,100,1.147148607200923e-9,0.06904127170943695,0.4097166011037987,0.4829962977650152,0.05480416586083398,0.45826169181525217,0.4923184887073033
98,OnlineFPCA-adagrad,2,20,100,1.147148607200923e-9,0.06573686102679349,0.10045014495747505,0.22348179203961804,0.03664207226310064,0.2635742355729219,0.2917513333453745
98,OnlineFPCA-adagrad,3,20,100,1.147148607200923e-9,0.06425842649497714,0.0728168718178499,0.19751838030382105,0.03415889424412922,0.16816585153078392,0.20652664511830415
