seed,Method,epoch,nBatch,nBlock,tau,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
5,OnlineFPCA-adagrad,1,1,100,1.0524906919904586e-7,0.21827599587087634,0.2635902836592215,0.5913001876251397,0.05149128816093938,0.14900471029469317,0.20029921432340464
5,OnlineFPCA-adagrad,2,1,100,1.0524906919904586e-7,0.2053038600825358,0.241716583099859,0.567624127440403,0.01742141118371944,0.08231433233505915,0.19486102895698307
5,OnlineFPCA-adagrad,3,1,100,1.0524906919904586e-7,0.19427840231165203,0.1991662016046291,0.5290035473049789,0.016316364065894966,0.07528341699911502,0.19208837432003656
5,OnlineFPCA-adagrad,1,2,100,2.0614971371583074e-7,0.20499948708185733,0.28934582698395533,0.5001975456374157,0.04807915057039753,0.2016752111201388,0.2516531844938722
5,OnlineFPCA-adagrad,2,2,100,2.0614971371583074e-7,0.1857258897916431,0.2148300267987606,0.45650973794359007,0.01854541678003868,0.10378431467366006,0.19633262297453127
5,OnlineFPCA-adagrad,3,2,100,2.0614971371583074e-7,0.16948639281951633,0.19510215605622402,0.4267689839777325,0.0175686593891944,0.08924526838194173,0.18785726859101734
5,OnlineFPCA-adagrad,1,5,100,2.881100441787616e-7,0.18387254918044874,0.19845045399728528,0.44275517248595747,0.04168321559225603,0.0920533541904673,0.1919804345926205
5,OnlineFPCA-adagrad,2,5,100,2.881100441787616e-7,0.15005988324254216,0.17234237162142252,0.3938612356762508,0.018439298799109334,0.07041097294581168,0.16891818323137914
5,OnlineFPCA-adagrad,3,5,100,2.881100441787616e-7,0.12986172211311114,0.15311157840808523,0.3549714900992142,0.017831078730384777,0.06792313579420385,0.16727975704628295
5,OnlineFPCA-adagrad,1,10,100,6.601509901924125e-8,0.15267555841397523,0.18598096638509456,0.377438954895719,0.03886269307939537,0.1140231215122338,0.1789683836742238
5,OnlineFPCA-adagrad,2,10,100,6.601509901924125e-8,0.1168846934600226,0.14695625388011554,0.3268964358747818,0.019494357631850562,0.07590272117780178,0.16576834017307507
5,OnlineFPCA-adagrad,3,10,100,6.601509901924125e-8,0.09958906729238724,0.13280537412183066,0.2941637391635726,0.018861791632724712,0.06982016267584777,0.1638011672183258
5,OnlineFPCA-adagrad,1,20,100,2.3054072189348563e-7,0.11076762309499144,0.13063344103824345,0.3092765313161107,0.021655717210509497,0.08594881983848793,0.1564324343829377
5,OnlineFPCA-adagrad,2,20,100,2.3054072189348563e-7,0.08861038046987463,0.11083847161035905,0.2744985637466561,0.019153799905640475,0.06340072536285554,0.1530896409232123
5,OnlineFPCA-adagrad,3,20,100,2.3054072189348563e-7,0.07604367153834869,0.10306936333173256,0.2506712727934658,0.01959873118562973,0.06119678480539006,0.15360571863816627
