seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
45,Pspline-SGD,0.2,0,100,face,3,5,1.74464321136475,0.1190499390541048,0.1285519091549785,0.11754110333138262,0.1190499390541048,0.1285519091549785,0.11754110333138262
45,Pspline-SGD,0.2,100,100,face,3,5,1.01965951919556,0.07206659251386449,0.07125792244656742,0.07158863674734711,0.07206659251386449,0.07125792244656742,0.07158863674734711
45,Pspline-SGD,0.2,200,100,face,3,5,0.990384578704834,0.05065920492353765,0.050143469732604834,0.049961929879100114,0.05065920492353765,0.050143469732604834,0.049961929879100114
45,Pspline-SGD,0.2,300,100,face,3,5,0.989152193069458,0.05983711410241159,0.06550175956244483,0.0863958889461744,0.05983711410241159,0.06550175956244483,0.0863958889461744
45,Pspline-SGD,0.2,400,100,face,3,5,0.988777160644531,0.034148936299375585,0.08173495062223717,0.1255949585222993,0.034148936299375585,0.08173495062223717,0.1255949585222993
45,Pspline-SGD,0.2,500,100,face,3,5,0.997290372848511,0.045531624912423095,0.02834097086398214,0.08511098037370471,0.045531624912423095,0.02834097086398214,0.08511098037370471
45,Pspline-SGD,0.2,600,100,face,3,5,0.969453811645508,0.058918259715792655,0.032743119778366477,0.1016975556717568,0.058918259715792655,0.032743119778366477,0.1016975556717568
45,Pspline-SGD,0.2,700,100,face,3,5,0.9627366065979,0.02917306104141727,0.03700860571225938,0.09194790317641441,0.02917306104141727,0.03700860571225938,0.09194790317641441
45,Pspline-SGD,0.2,800,100,face,3,5,0.963115930557251,0.021876353368214505,0.049027154307014605,0.09357272111450123,0.021876353368214505,0.049027154307014605,0.09357272111450123
45,Pspline-SGD,0.2,900,100,face,3,5,0.967527866363525,0.029449234838957422,0.059033785236544276,0.09278272734974044,0.029449234838957422,0.059033785236544276,0.09278272734974044
45,Pspline-SGD,0.2,1000,100,face,3,5,0.962999820709229,0.04982021594983501,0.05209124287772041,0.11228436977592346,0.04982021594983501,0.05209124287772041,0.11228436977592346
45,Pspline-SGD,0.2,1100,100,face,3,5,0.952767133712769,0.0338284559752895,0.0448666067256447,0.12142071754429103,0.0338284559752895,0.0448666067256447,0.12142071754429103
45,Pspline-SGD,0.2,1200,100,face,3,5,0.961699962615967,0.04982167896552721,0.07704404491184662,0.11822186423424247,0.04982167896552721,0.07704404491184662,0.11822186423424247
45,Pspline-SGD,0.2,1300,100,face,3,5,0.973827838897705,0.05458015167160223,0.07116182643339469,0.11547976935620653,0.05458015167160223,0.07116182643339469,0.11547976935620653
45,Pspline-SGD,0.2,1400,100,face,3,5,0.965999841690063,0.05407451055970794,0.044790301196218484,0.11709168957460443,0.05407451055970794,0.044790301196218484,0.11709168957460443
45,Pspline-SGD,0.2,1500,100,face,3,5,0.969036817550659,0.022407156720126033,0.040066349831064295,0.13343683992811514,0.022407156720126033,0.040066349831064295,0.13343683992811514
45,Pspline-SGD,0.2,1600,100,face,3,5,0.957739114761353,0.04364774244647234,0.08482143643245448,0.10855688223753178,0.04364774244647234,0.08482143643245448,0.10855688223753178
45,Pspline-SGD,0.2,1700,100,face,3,5,0.967113494873047,0.0217830094774486,0.04692664062658667,0.1111065182945544,0.0217830094774486,0.04692664062658667,0.1111065182945544
45,Pspline-SGD,0.2,1800,100,face,3,5,0.968027353286743,0.05531632239454528,0.060484544676213774,0.13122705952642447,0.05531632239454528,0.060484544676213774,0.13122705952642447
45,Pspline-SGD,0.2,1900,100,face,3,5,1.09427070617676,0.04512732751532919,0.06663616874993772,0.1258565448062674,0.04512732751532919,0.06663616874993772,0.1258565448062674
45,Pspline-SGD,0.2,2000,100,face,3,5,0.960341215133667,0.04049451132547734,0.07109941033266307,0.12909827630828016,0.04049451132547734,0.07109941033266307,0.12909827630828016
45,Pspline-SGD,0.2,2100,100,face,3,5,0.966091632843018,0.05530832013353789,0.0640339816385728,0.1342958909844753,0.05530832013353789,0.0640339816385728,0.1342958909844753
45,Pspline-SGD,0.2,2200,100,face,3,5,0.970240116119385,0.033061179793822934,0.053876546684996286,0.10109624312280323,0.033061179793822934,0.053876546684996286,0.10109624312280323
45,Pspline-SGD,0.2,2300,100,face,3,5,0.966900825500488,0.07135906868887837,0.05655722481043208,0.12685048344274694,0.07135906868887837,0.05655722481043208,0.12685048344274694
45,Pspline-SGD,0.2,2400,100,face,3,5,0.958064317703247,0.0747240770741499,0.04097109539574405,0.10948645855316379,0.0747240770741499,0.04097109539574405,0.10948645855316379
45,Pspline-SGD,0.2,2500,100,face,3,5,0.957500219345093,0.04346330123272969,0.041698319611853114,0.09819444744627012,0.04346330123272969,0.041698319611853114,0.09819444744627012
