seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
43,Pspline-SGD,0.2,0,100,face,3,5,1.75538229942322,0.06245098285613524,0.08190518745652774,0.2730213024725197,0.06245098285613524,0.08190518745652774,0.2730213024725197
43,Pspline-SGD,0.2,100,100,face,3,5,0.994980573654175,0.059217359610719424,0.057254533739407365,0.16108436216386124,0.059217359610719424,0.057254533739407365,0.16108436216386124
43,Pspline-SGD,0.2,200,100,face,3,5,0.989167928695679,0.0651829068870244,0.0752465772349267,0.12465129118071153,0.0651829068870244,0.0752465772349267,0.12465129118071153
43,Pspline-SGD,0.2,300,100,face,3,5,0.975069284439087,0.08890123584645027,0.07615747347668544,0.08759462782461205,0.08890123584645027,0.07615747347668544,0.08759462782461205
43,Pspline-SGD,0.2,400,100,face,3,5,0.981513738632202,0.07764134060242947,0.07695221818620393,0.14749185163526013,0.07764134060242947,0.07695221818620393,0.14749185163526013
43,Pspline-SGD,0.2,500,100,face,3,5,0.984003305435181,0.06683737097984287,0.05814799405733216,0.1526175943611647,0.06683737097984287,0.05814799405733216,0.1526175943611647
43,Pspline-SGD,0.2,600,100,face,3,5,1.0858998298645,0.05306590208789985,0.07105901135445054,0.14351675888791116,0.05306590208789985,0.07105901135445054,0.14351675888791116
43,Pspline-SGD,0.2,700,100,face,3,5,0.954058647155762,0.050760021819014824,0.06996528115666571,0.09859893563893955,0.050760021819014824,0.06996528115666571,0.09859893563893955
43,Pspline-SGD,0.2,800,100,face,3,5,0.956120252609253,0.07296466983127635,0.03245052107656454,0.127537929637119,0.07296466983127635,0.03245052107656454,0.127537929637119
43,Pspline-SGD,0.2,900,100,face,3,5,0.950459241867065,0.07508642953462137,0.06063584606443439,0.07614171130947618,0.07508642953462137,0.06063584606443439,0.07614171130947618
43,Pspline-SGD,0.2,1000,100,face,3,5,0.958683729171753,0.06050600227046576,0.028345571233970995,0.07359310110091603,0.06050600227046576,0.028345571233970995,0.07359310110091603
43,Pspline-SGD,0.2,1100,100,face,3,5,0.950045108795166,0.05102619221397132,0.04720159560009242,0.0678428403995064,0.05102619221397132,0.04720159560009242,0.0678428403995064
43,Pspline-SGD,0.2,1200,100,face,3,5,0.959230184555054,0.0519458528216556,0.02370861998971079,0.09341590026206367,0.0519458528216556,0.02370861998971079,0.09341590026206367
43,Pspline-SGD,0.2,1300,100,face,3,5,0.957279205322266,0.04644424995386144,0.021950638540771002,0.09076875678260742,0.04644424995386144,0.021950638540771002,0.09076875678260742
43,Pspline-SGD,0.2,1400,100,face,3,5,0.949121475219727,0.027449043707547634,0.05532422751871694,0.1018119198614234,0.027449043707547634,0.05532422751871694,0.1018119198614234
43,Pspline-SGD,0.2,1500,100,face,3,5,0.964763641357422,0.06211120637976513,0.06399588508788168,0.09818990169443326,0.06211120637976513,0.06399588508788168,0.09818990169443326
43,Pspline-SGD,0.2,1600,100,face,3,5,0.95923376083374,0.04966126439816784,0.05306753458840841,0.08645304216236879,0.04966126439816784,0.05306753458840841,0.08645304216236879
43,Pspline-SGD,0.2,1700,100,face,3,5,0.95593786239624,0.06748937154403128,0.08405924739801328,0.09495874512389002,0.06748937154403128,0.08405924739801328,0.09495874512389002
43,Pspline-SGD,0.2,1800,100,face,3,5,0.959125995635986,0.04729419407177405,0.03729479407626113,0.1035097394720631,0.04729419407177405,0.03729479407626113,0.1035097394720631
43,Pspline-SGD,0.2,1900,100,face,3,5,0.952392578125,0.03336458302497626,0.05931784328269175,0.11201308205266355,0.03336458302497626,0.05931784328269175,0.11201308205266355
43,Pspline-SGD,0.2,2000,100,face,3,5,0.953270435333252,0.035184689271930594,0.07338315146741112,0.13269287740475214,0.035184689271930594,0.07338315146741112,0.13269287740475214
43,Pspline-SGD,0.2,2100,100,face,3,5,0.960414886474609,0.02185601765037399,0.04798284769396637,0.11645901919233156,0.02185601765037399,0.04798284769396637,0.11645901919233156
43,Pspline-SGD,0.2,2200,100,face,3,5,0.947601318359375,0.023148285180762732,0.054610070464947924,0.11347201865065434,0.023148285180762732,0.054610070464947924,0.11347201865065434
43,Pspline-SGD,0.2,2300,100,face,3,5,0.958109140396118,0.07901856704091635,0.08892202375338394,0.16640374085911272,0.07901856704091635,0.08892202375338394,0.16640374085911272
43,Pspline-SGD,0.2,2400,100,face,3,5,0.949898242950439,0.06275662520213614,0.0791732782897921,0.1311572470962527,0.06275662520213614,0.0791732782897921,0.1311572470962527
43,Pspline-SGD,0.2,2500,100,face,3,5,0.956498146057129,0.06073119631989983,0.10115770477003937,0.147616334282137,0.06073119631989983,0.10115770477003937,0.147616334282137
43,Pspline-SGD,0.2,2600,100,face,3,5,0.957538604736328,0.06371548650021597,0.11291191532311597,0.14508921895474436,0.06371548650021597,0.11291191532311597,0.14508921895474436
43,Pspline-SGD,0.2,2700,100,face,3,5,0.951285600662231,0.06746185607993467,0.08347258454574288,0.13746235974560708,0.06746185607993467,0.08347258454574288,0.13746235974560708
43,Pspline-SGD,0.2,2800,100,face,3,5,0.963475704193115,0.08473693858831953,0.09401607799726934,0.16570417049708108,0.08473693858831953,0.09401607799726934,0.16570417049708108
