seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
92,OnlineFPCA-sgd,0.1,1600,100,face,3,5,0.495972633361816,0.03897438428770639,0.5862420353048663,0.6110479418980358,0.07516849196624627,0.6100507983471233,0.6969716175140629
92,OnlineFPCA-sgd,0.1,1700,100,face,3,5,0.519639492034912,0.06564548885608963,0.57521930812139,0.578936852746545,0.06735598223243028,0.6045346653991209,0.6803426589107445
92,OnlineFPCA-sgd,0.1,1800,100,face,3,5,0.560889005661011,0.06415080974819076,0.5647399671884935,0.5766470408863961,0.06297873792910194,0.5987922770240214,0.6650062515253441
92,OnlineFPCA-sgd,0.1,1900,100,face,3,5,0.551434993743896,0.06934459863639308,0.5488336158022977,0.5551697224603784,0.05613694317723611,0.5926200097348059,0.6488704813136024
92,OnlineFPCA-sgd,0.1,2000,100,face,3,5,0.591560840606689,0.2924165376669824,0.565713224075335,0.5915882329919575,0.05268362632351001,0.5875730532098917,0.6391013669262401
92,OnlineFPCA-sgd,0.1,2100,100,face,3,5,0.566561698913574,0.1247077798309652,0.5257446175547171,0.5733570966455022,0.04489899324102318,0.5818658198721959,0.6295447738325554
92,OnlineFPCA-sgd,0.1,2200,100,face,3,5,0.599924564361572,0.05502698711777098,0.5136855471904103,0.5455733027629422,0.03899162731250768,0.5757775725472113,0.6207212998069319
92,OnlineFPCA-sgd,0.1,2300,100,face,3,5,0.589296817779541,0.0492781989435621,0.5104011840133285,0.5356653570819436,0.03231909350695684,0.5699373710649999,0.612042985266876
92,OnlineFPCA-sgd,0.1,2400,100,face,3,5,0.560035705566406,0.09739705873951952,0.49663041856234913,0.5191791551059246,0.0304573621919293,0.5644008560690349,0.6041081213254079
92,OnlineFPCA-sgd,0.1,2500,100,face,3,5,0.564133167266846,0.02170016836142864,0.4899448306814144,0.5051848404654146,0.02920414790447092,0.5587816838944207,0.5963936708484613
92,OnlineFPCA-sgd,0.1,2600,100,face,3,5,0.58161997795105,0.08127838719076012,0.4858673809821303,0.4921525460590011,0.02907659425252606,0.553405290370399,0.5885987440768723
92,OnlineFPCA-sgd,0.1,2700,100,face,3,5,0.57654070854187,0.08333809479072926,0.5118629308287724,0.48324837492390393,0.02730926132422751,0.5498532536101022,0.5812715499559301
92,OnlineFPCA-sgd,0.1,2800,100,face,3,5,0.566863298416138,0.0766149732982051,0.4939761028927277,0.4888503541974934,0.02595646231167024,0.5467883137958912,0.5750113240929774
92,OnlineFPCA-sgd,0.1,2900,100,face,3,5,0.752692461013794,0.05989286636851164,0.4715589728891057,0.4855709498274556,0.02489807858011159,0.5429299507099795,0.5699139124202109
92,OnlineFPCA-sgd,0.1,3000,100,face,3,5,0.563487768173218,0.4674943545242721,0.5003820594462869,0.44214619360884744,0.02429808518767942,0.5387258168183997,0.5638017428978181
92,OnlineFPCA-sgd,0.1,3100,100,face,3,5,0.550943613052368,0.0699684248301839,0.4260125144774929,0.43365112046836496,0.02006658275821618,0.5342879700188874,0.5553861822436679
92,OnlineFPCA-sgd,0.1,3200,100,face,3,5,0.573607921600342,0.05331054019085978,0.4038698248147145,0.4098722962823754,0.01856292310061019,0.527913795561919,0.5471236947135735
92,OnlineFPCA-sgd,0.1,3300,100,face,3,5,0.557038307189941,0.06522783815127457,0.4007692148079795,0.3948303468593421,0.01593703695155145,0.5218251069540488,0.5394837580791554
92,OnlineFPCA-sgd,0.1,3400,100,face,3,5,0.555193185806274,0.10537988623447876,0.38862417718822434,0.3802940606202049,0.01647148012254251,0.5159631653648079,0.5318935463876046
92,OnlineFPCA-sgd,0.1,3500,100,face,3,5,0.572386503219604,0.06468068366776829,0.37899869083279886,0.3709895809384746,0.01599022238316813,0.5101784238847582,0.524422422708706
92,OnlineFPCA-sgd,0.1,3600,100,face,3,5,0.55672550201416,0.10418495483250058,0.3713411218954284,0.3653972793785368,0.01544079570175224,0.5044749079500692,0.5174089601806356
92,OnlineFPCA-sgd,0.1,3700,100,face,3,5,0.545241594314575,0.1236889418648589,0.3808085663273792,0.3650538248439342,0.01531429313838617,0.4990630334147419,0.5106939072203941
92,OnlineFPCA-sgd,0.1,3800,100,face,3,5,0.551033735275269,0.12265607967156408,0.38190947545163456,0.35635499856888625,0.01664122708066542,0.49435703005485365,0.5042094847653028
92,OnlineFPCA-sgd,0.1,3900,100,face,3,5,0.544948577880859,0.05205213540002423,0.3418072112021806,0.3433718910194334,0.01623072346435197,0.4889204252849046,0.4981332494175838
92,OnlineFPCA-sgd,0.1,4000,100,face,3,5,0.531904458999634,0.01610480999880906,0.4836228699683971,0.4920903075321996,0.01610480999880906,0.4836228699683971,0.4920903075321996
92,OnlineFPCA-sgd,0.1,4100,100,face,3,5,0.541985988616943,0.03041018274206812,0.477259087762684,0.49159240839819024,0.04041107900607925,0.47852583576820096,0.4937927579953448
92,OnlineFPCA-sgd,0.1,4200,100,face,3,5,0.518667697906494,0.07171783121603074,0.47350861587846976,0.48509062234110056,0.01987558666404865,0.47670319227096386,0.4909815688683063
92,OnlineFPCA-sgd,0.1,4300,100,face,3,5,0.517328500747681,0.03066640162839853,0.4703536410809038,0.4701426522627781,0.01214245651981805,0.47468164400526675,0.4866227701520549
92,OnlineFPCA-sgd,0.1,4400,100,face,3,5,0.518503189086914,0.02425108920872214,0.4635786977384804,0.464065804801851,0.01116999104307775,0.4725318435388937,0.4810561470052168
92,OnlineFPCA-sgd,0.1,4500,100,face,3,5,0.505651712417603,0.06194122249792321,0.4593897657915006,0.4638709584102152,0.012220714137642,0.4694797572093343,0.47648199889018306
92,OnlineFPCA-sgd,0.1,4600,100,face,3,5,0.499607086181641,0.05972059741394359,0.45405047905702095,0.45335428024522034,0.00763831019489109,0.4665295639137373,0.47232272117383606
92,OnlineFPCA-sgd,0.1,4700,100,face,3,5,0.506892442703247,0.07085902062924199,0.44604830813502266,0.4453445034592713,0.00989468100517988,0.46342768380619503,0.4682396457776837
92,OnlineFPCA-sgd,0.1,4800,100,face,3,5,0.529191732406616,0.09434352298544511,0.4473868471437849,0.4413254624029088,0.01426900156093678,0.46081538980512926,0.4648603545441789
92,OnlineFPCA-sgd,0.1,4900,100,face,3,5,0.521058559417725,0.11647161424347006,0.4779453741115747,0.44402958852883817,0.0151467175935383,0.45819471516694493,0.4611300983543451
92,OnlineFPCA-sgd,0.1,5000,100,face,3,5,0.54449200630188,0.03711849048584458,0.4218532642107698,0.4684854890592237,0.01361210386383765,0.45431995829096333,0.4596002597448297
92,OnlineFPCA-sgd,0.1,5100,100,face,3,5,0.110825061798096,0.07400258732254131,0.41956666674576126,0.4583131456024318,0.01290690637243948,0.45095141052994886,0.45862463011165905
92,OnlineFPCA-sgd,0.1,5200,100,face,3,5,0.110506057739258,0.04533688822695279,0.4147058973483395,0.445806046611136,0.01200624332410258,0.4478995269282135,0.45731933555378346
92,OnlineFPCA-sgd,0.1,5300,100,face,3,5,0.116394996643066,0.0312941343120849,0.41092478976973645,0.41322335065869714,0.01195189271087886,0.4448322069561144,0.4540793393569643
92,OnlineFPCA-sgd,0.1,5400,100,face,3,5,0.106974124908447,0.08640301001112237,0.40385704543082296,0.41224724464043694,0.01164845849925516,0.4416508544706199,0.45051633477069614
92,OnlineFPCA-sgd,0.1,5500,100,face,3,5,0.121529579162598,0.15150774605174677,0.379503869842208,0.4686623444767145,0.01146832142359345,0.43792933189157457,0.4483480877770116
92,OnlineFPCA-sgd,0.1,5600,100,face,3,5,0.111071109771729,0.09246829324977084,0.37524686446116584,0.4306954581183009,0.01432906011149504,0.43379598720818063,0.44628148895247105
92,OnlineFPCA-sgd,0.1,5700,100,face,3,5,0.114070415496826,0.11440736525851748,0.36405537447687675,0.4059838446137859,0.01670816048678044,0.42976932185242006,0.4432047014860367
92,OnlineFPCA-sgd,0.1,5800,100,face,3,5,0.11779522895813,0.05508239363647188,0.3592968182179863,0.38406483428985616,0.0159604231974029,0.42545872790738953,0.4388625578739549
92,OnlineFPCA-sgd,0.1,5900,100,face,3,5,0.11853814125061,0.08491374288327756,0.35318270653911404,0.372645875088566,0.01551145436511282,0.4213647509208651,0.434467480164644
92,OnlineFPCA-sgd,0.1,6000,100,face,3,5,0.114993333816528,0.05551726648487916,0.34833885357347494,0.35987963886459845,0.01489097469411531,0.41772536224257406,0.4302777853740572
92,OnlineFPCA-sgd,0.1,6100,100,face,3,5,0.123556137084961,0.14780882699000844,0.4512287452041104,0.5265940499158321,0.02150307726200174,0.41542545215532145,0.42875293845156776
92,OnlineFPCA-sgd,0.1,6200,100,face,3,5,0.10944938659668,0.05785437221228143,0.4234631213407768,0.5260992375077456,0.02437876036342066,0.4141352008278207,0.4294180240863734
92,OnlineFPCA-sgd,0.1,6300,100,face,3,5,0.119139671325684,0.07602874697860096,0.4142641652507392,0.4924347527005304,0.02510389987965177,0.4130551675673276,0.43010093788322606
92,OnlineFPCA-sgd,0.1,6400,100,face,3,5,0.117557048797607,0.10514174493366202,0.4002714940502756,0.4835173267652425,0.02512980248031274,0.4120799513453576,0.4305353785120673
92,OnlineFPCA-sgd,0.1,6500,100,face,3,5,0.118419647216797,0.03485625777154452,0.388020154068747,0.46217691612896056,0.02563090509863367,0.4108628614599081,0.43063431537290336
92,OnlineFPCA-sgd,0.1,6600,100,face,3,5,0.120518922805786,0.03356428223242941,0.3812822998649208,0.4370192998010486,0.02559078630911315,0.40954356867876146,0.4303058724108519
92,OnlineFPCA-sgd,0.1,6700,100,face,3,5,0.108725309371948,0.05580922962319451,0.3654015682286283,0.4161662118110344,0.02612628577423829,0.4079673387894632,0.4293737387607944
92,OnlineFPCA-sgd,0.1,6800,100,face,3,5,0.109286069869995,0.065758642667852,0.35759992762032,0.3939313212625136,0.02609981991519676,0.40617559593365904,0.4280709232015967
92,OnlineFPCA-sgd,0.1,6900,100,face,3,5,0.109038114547729,0.0425565530249977,0.3533585153798865,0.38164658815321995,0.0256891307644623,0.4042749840996972,0.42642013116726074
92,OnlineFPCA-sgd,0.1,7000,100,face,3,5,0.108696460723877,0.05111507146055392,0.35026259612936084,0.3676830641685039,0.0258189118643992,0.4023248442173332,0.4244978395735271
92,OnlineFPCA-sgd,0.1,7100,100,face,3,5,0.110079288482666,0.2239302248781156,0.3421973000857571,0.369388936436945,0.02528944847515818,0.4003541345826449,0.4223983482176235
92,OnlineFPCA-sgd,0.1,7200,100,face,3,5,0.106159925460815,0.0479009052132614,0.32950268682554956,0.33853311907264977,0.02448477850379893,0.3982154175410753,0.4198683265461937
92,OnlineFPCA-sgd,0.1,7300,100,face,3,5,0.112179040908813,0.0829407494066526,0.3281081669811385,0.3276212768792603,0.02267347471957329,0.3959834089885203,0.41675587904650696
92,OnlineFPCA-sgd,0.1,7400,100,face,3,5,0.111147880554199,0.12118294104554685,0.3105176067997257,0.31223457387086007,0.02206386311893173,0.3935498586131202,0.413478372247352
